against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1712,242,337,0,2791,245,409,7,1,Geelong,163.025700934579,23,84,22
1922,260,329,0,2561,277,372,10,5,Hawthorn,133.246618106139,23,68,18
2308,298,300,1,2688,335,398,18,7,"Western Bulldogs",116.464471403813,24,62,16
2114,290,289,0,2293,304,334,15,10,"St Kilda",108.467360454115,24,52,14
1963,289,305,0,2111,279,301,1,10,Adelaide,107.539480387163,23,52,13
2044,286,306,1,2274,293,328,16,10,Sydney,111.252446183953,24,50,13
2297,287,270,1,2196,335,321,12,10,"North Melbourne",95.6029603831084,23,50,12
2238,276,310,0,2464,327,359,4,11,Collingwood,110.098302055407,24,48,13
2288,278,242,1,2228,335,331,14,10,Richmond,97.3776223776224,22,46,11
2200,268,320,0,2156,322,306,2,12,"Brisbane Lions",98,22,40,10
2354,284,279,0,2217,345,323,3,12,Carlton,94.1801189464741,22,40,10
2608,304,240,0,2130,384,315,5,14,Essendon,81.6717791411043,22,32,8
2208,282,264,0,2118,321,309,13,15,"Port Adelaide",95.9239130434783,22,28,7
2121,261,266,0,1988,310,287,6,16,Fremantle,93.7293729372937,22,24,6
2535,285,254,0,1670,375,236,17,18,"West Coast",65.8777120315582,22,16,4
2602,346,225,0,1629,376,234,11,19,Melbourne,62.6056879323597,22,12,3
