against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
571,85,92,0,764,81,112,16,0,Sydney,133.800350262697,6,24,1,6
606,84,80,0,722,87,107,10,1,Hawthorn,119.141914191419,6,20,2,5
505,61,79,0,697,74,103,5,2,Essendon,138.019801980198,6,16,3,4
527,59,96,0,684,78,98,3,2,Carlton,129.791271347249,6,16,4,4
609,93,109,0,595,86,81,19,2,Fitzroy,97.7011494252874,6,16,5,4
614,62,80,0,710,92,105,12,3,"North Melbourne",115.635179153094,6,12,6,3
718,100,74,0,692,103,103,14,3,Richmond,96.3788300835655,6,12,7,3
633,99,81,0,567,89,81,4,4,Collingwood,89.5734597156398,6,8,8,2
741,87,78,0,654,109,96,11,4,Melbourne,88.2591093117409,6,8,9,2
583,97,92,0,494,81,67,18,4,"Western Bulldogs",84.7341337907376,6,8,10,2
773,95,77,0,533,113,76,7,5,Geelong,68.9521345407503,6,4,11,1
802,100,84,0,570,117,81,15,6,"St Kilda",71.072319201995,6,0,12,0
