against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1906,268,328,0,2698,273,395,10,4,Hawthorn,141.552990556138,22,72,18
2207,299,342,0,2574,318,372,16,7,Sydney,116.628908019937,23,64,16
1913,275,340,0,2686,273,391,3,7,Carlton,140.407736539467,23,60,16
2120,302,314,0,2126,303,302,19,9,Fitzroy,100.283018867925,23,52,14
2036,266,312,0,2436,295,354,5,11,Essendon,119.646365422397,23,48,12
2070,288,305,0,2261,297,326,4,10,Collingwood,109.227053140097,22,48,12
2356,292,278,0,2324,344,341,12,10,"North Melbourne",98.641765704584,22,48,12
2010,294,289,0,1963,286,279,18,11,"Western Bulldogs",97.6616915422886,22,44,11
2599,307,285,0,2133,382,308,7,15,Geelong,82.0700269334359,22,28,7
2745,351,255,0,2151,399,316,14,15,Richmond,78.3606557377049,22,28,7
2673,315,287,0,2003,393,286,11,15,Melbourne,74.934530490086,22,28,7
2566,328,250,0,1846,373,266,15,20,"St Kilda",71.9407638347623,22,8,2
