against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
824,104,170,0,1124,120,159,13,3,"Port Adelaide",136.407766990291,16,52,1,13
887,113,182,0,1106,129,154,2,3,"Brisbane Lions",124.689966178129,16,52,2,13
841,121,146,1,1058,120,152,14,4,Richmond,125.802615933413,16,46,3,11
838,118,132,0,1164,120,172,7,5,Geelong,138.90214797136,16,44,4,11
902,128,116,0,1046,129,155,17,5,"West Coast",115.964523281596,16,44,5,11
820,88,128,1,920,122,132,4,6,Collingwood,112.19512195122,16,38,6,9
967,133,123,0,1077,139,159,15,7,"St Kilda",111.375387797311,16,36,7,9
990,132,141,0,1029,143,148,18,7,"Western Bulldogs",103.939393939394,16,36,8,9
937,127,125,0,995,135,145,11,8,Melbourne,106.189967982924,16,32,9,8
971,137,125,0,977,139,142,9,8,"Greater Western Sydney",100.617919670443,16,32,10,8
850,130,96,0,822,120,121,6,9,Fremantle,96.7058823529412,16,28,11,7
1000,118,140,0,956,147,136,3,9,Carlton,95.6,16,28,12,7
1117,145,115,1,889,162,129,5,9,Essendon,79.5881826320501,16,26,13,6
991,133,135,1,939,143,134,8,10,"Gold Coast",94.752774974773,16,22,14,5
1008,150,113,0,827,143,119,16,11,Sydney,82.0436507936508,16,20,15,5
1137,135,116,0,896,167,130,10,12,Hawthorn,78.8038698328936,16,16,16,4
1156,178,104,0,824,163,120,12,13,"North Melbourne",71.280276816609,16,12,17,3
1206,138,121,0,793,178,112,1,13,Adelaide,65.7545605306799,16,12,18,3
