against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
685,91,111,0,999,99,148,13,1,"Port Adelaide",145.839416058394,9,32,1,8
714,96,121,0,835,103,119,7,2,Geelong,116.946778711485,9,28,2,7
775,103,111,0,873,112,127,8,2,"Gold Coast",112.645161290323,9,28,3,7
700,106,102,0,1068,99,161,10,3,Hawthorn,152.571428571429,9,24,4,6
659,101,109,0,823,93,119,16,3,Sydney,124.886191198786,9,24,5,6
709,109,123,0,765,100,107,4,3,Collingwood,107.898448519041,9,24,6,6
660,108,104,0,776,92,112,6,4,Fremantle,117.575757575758,9,20,7,5
714,96,114,0,756,103,107,12,4,"North Melbourne",105.882352941176,9,20,8,5
685,67,104,0,860,103,126,17,5,"West Coast",125.547445255474,9,16,9,4
791,89,119,0,809,117,115,1,5,Adelaide,102.275600505689,9,16,10,4
720,84,98,0,710,106,102,5,5,Essendon,98.6111111111111,9,16,11,4
866,128,103,0,751,123,108,3,5,Carlton,86.7205542725173,9,16,12,4
777,105,103,0,799,112,116,14,6,Richmond,102.831402831403,9,12,13,3
884,98,85,0,745,131,110,18,6,"Western Bulldogs",84.2760180995475,9,12,14,3
723,135,77,0,569,98,82,11,6,Melbourne,78.6998616874136,9,12,15,3
906,108,89,0,617,133,88,15,6,"St Kilda",68.1015452538631,9,12,16,3
1064,86,100,0,730,163,105,9,7,"Greater Western Sydney",68.609022556391,9,8,17,2
1003,133,70,0,550,145,80,2,8,"Brisbane Lions",54.8354935194417,9,4,18,1
