against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1994,296,294,0,2556,283,377,5,4,Essendon,128.184553660983,22,72,18
2161,295,368,0,2846,311,413,10,5,Hawthorn,131.698287829708,23,68,18
2136,294,312,0,2424,307,352,3,10,Carlton,113.483146067416,23,52,13
2179,337,343,0,2413,307,345,4,9,Collingwood,110.738871041762,23,52,14
2498,320,310,0,2512,363,367,19,12,Fitzroy,100.560448358687,23,44,11
2239,295,300,0,2112,324,302,7,11,Geelong,94.3278249218401,22,44,11
2123,293,300,0,1992,305,282,18,11,"Western Bulldogs",93.8294865756006,22,44,11
2373,315,339,0,2157,343,303,14,12,Richmond,90.897597977244,22,40,10
2233,313,306,0,2328,320,337,11,13,Melbourne,104.254366323332,22,36,9
2522,380,297,0,2223,357,321,16,13,Sydney,88.1443298969072,22,36,9
2661,291,314,0,2174,395,310,12,17,"North Melbourne",81.6986095452837,22,20,5
2522,314,260,0,1904,368,274,15,17,"St Kilda",75.4956383822363,22,20,5
