against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1822,286,279,0,2217,256,323,4,4,Collingwood,121.679473106476,20,64,1,16
1666,226,316,0,2152,240,306,3,5,Carlton,129.171668667467,20,60,2,15
1698,216,345,0,2097,247,292,5,5,Essendon,123.498233215548,20,60,3,15
1608,246,301,0,2041,227,290,7,6,Geelong,126.927860696517,20,56,4,14
1908,294,309,0,2127,269,303,10,8,Hawthorn,111.477987421384,20,48,5,12
2055,333,308,0,2252,287,324,19,8,Fitzroy,109.586374695864,20,48,6,12
2041,283,301,0,2167,293,311,14,8,Richmond,106.173444390005,20,48,7,12
2135,305,333,0,2217,305,314,12,11,"North Melbourne",103.84074941452,20,36,8,9
2236,262,301,0,2023,329,287,16,12,Sydney,90.474060822898,20,32,9,8
2126,326,285,0,1779,300,249,15,16,"St Kilda",83.6782690498589,20,16,10,4
2465,323,227,0,1667,357,240,18,18,"Western Bulldogs",67.6267748478702,20,8,11,2
2647,403,198,0,1668,374,245,11,19,Melbourne,63.014733660748,20,4,12,1
