against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1567,211,308,0,2054,226,291,3,4,Carlton,131.07849393746,19,60,1,15
1736,266,272,0,2126,245,309,4,4,Collingwood,122.465437788018,19,60,2,15
1600,208,330,0,1998,232,278,5,5,Essendon,124.875,19,56,3,14
1522,232,288,0,1902,215,269,7,6,Geelong,124.96714848883,19,52,4,13
1950,276,281,0,2081,279,300,14,7,Richmond,106.717948717949,19,48,5,12
1840,280,292,0,2050,260,293,10,8,Hawthorn,111.413043478261,19,44,6,11
1969,319,293,0,2105,275,302,19,8,Fitzroy,106.907059421026,19,44,7,11
2048,296,314,0,2072,292,293,12,11,"North Melbourne",101.171875,19,32,8,8
2097,249,287,0,1937,308,275,16,11,Sydney,92.3700524558894,19,32,9,8
2049,309,271,0,1711,290,240,15,15,"St Kilda",83.5041483650561,19,16,10,4
2318,308,213,0,1581,335,228,18,17,"Western Bulldogs",68.2053494391717,19,8,11,2
2502,384,189,0,1581,353,232,11,18,Melbourne,63.189448441247,19,4,12,1
