against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1285,169,176,0,1388,186,202,18,4,"Western Bulldogs",108.015564202335,14,40,1,10
1120,160,179,0,1295,160,186,7,5,Geelong,115.625,14,36,2,9
1149,159,163,0,1405,165,207,1,6,Adelaide,122.280243690165,14,32,3,8
1318,178,182,0,1448,190,211,15,6,"St Kilda",109.863429438543,14,32,4,8
1238,164,172,0,1336,179,194,10,6,Hawthorn,107.915993537964,14,32,5,8
1222,148,180,0,1182,179,167,13,6,"Port Adelaide",96.7266775777414,14,32,6,8
1215,159,191,0,1301,176,185,2,7,"Brisbane Lions",107.078189300412,14,28,7,7
1168,154,140,0,1226,169,181,17,7,"West Coast",104.965753424658,14,28,8,7
1162,160,167,0,1199,167,172,16,7,Sydney,103.184165232358,14,28,9,7
1232,146,170,0,1262,181,182,12,7,"North Melbourne",102.435064935065,14,28,10,7
1169,149,167,0,1175,170,168,6,7,Fremantle,100.513259195894,14,28,11,7
1298,170,180,0,1230,188,175,3,7,Carlton,94.7611710323575,14,28,12,7
1208,194,160,0,1354,169,199,4,8,Collingwood,112.086092715232,14,24,13,6
1362,198,153,0,1341,194,198,5,8,Essendon,98.4581497797357,14,24,14,6
1458,168,161,0,1121,215,160,14,9,Richmond,76.8861454046639,14,20,15,5
1520,200,135,0,861,220,121,11,12,Melbourne,56.6447368421053,14,8,16,2
