against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1212,168,191,0,1397,174,201,7,5,Geelong,115.26402640264,15,40,1,10
1422,180,183,0,1461,207,213,18,5,"Western Bulldogs",102.742616033755,15,40,2,10
1215,171,179,0,1481,174,217,1,6,Adelaide,121.893004115226,15,36,3,9
1288,166,202,0,1438,187,206,2,7,"Brisbane Lions",111.645962732919,15,32,4,8
1394,194,194,0,1514,200,220,15,7,"St Kilda",108.608321377331,15,32,5,8
1235,167,153,0,1311,178,193,17,7,"West Coast",106.153846153846,15,32,6,8
1240,172,180,0,1278,178,183,16,7,Sydney,103.064516129032,15,32,7,8
1383,177,181,0,1405,201,204,10,7,Hawthorn,101.590744757773,15,32,8,8
1307,161,193,0,1249,191,176,13,7,"Port Adelaide",95.5623565416985,15,32,9,8
1268,200,170,0,1514,178,224,4,8,Collingwood,119.400630914826,15,28,10,7
1334,158,178,0,1354,196,196,12,8,"North Melbourne",101.499250374813,15,28,11,7
1417,181,190,0,1330,206,190,3,8,Carlton,93.8602681721948,15,28,12,7
1329,159,173,0,1235,195,177,6,8,Fremantle,92.9270127915726,15,28,13,7
1441,211,165,0,1419,205,209,5,9,Essendon,98.4732824427481,15,24,14,6
1527,177,174,0,1266,225,182,14,9,Richmond,82.9076620825147,15,24,15,6
1620,210,146,0,980,235,139,11,12,Melbourne,60.4938271604938,15,12,16,3
