against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1024,142,167,0,1499,147,222,5,2,Essendon,146.38671875,13,44,1,11
1043,143,171,0,1365,150,199,3,4,Carlton,130.872483221477,13,36,2,9
1139,155,153,0,1269,164,186,14,4,Richmond,111.413520632133,13,36,3,9
1208,176,146,0,1238,172,182,10,4,Hawthorn,102.483443708609,13,36,4,9
1146,126,177,0,1383,170,201,4,5,Collingwood,120.680628272251,13,32,5,8
1233,153,195,0,1455,180,210,2,5,"Brisbane Lions",118.004866180049,13,32,6,8
1198,142,170,0,1406,176,206,13,5,"Port Adelaide",117.362270450751,13,32,7,8
1422,156,155,0,1397,211,207,18,6,"Western Bulldogs",98.2419127988748,13,28,8,7
1177,163,160,0,1222,169,177,16,7,Sydney,103.823279524214,13,24,9,6
1148,134,152,0,1130,169,163,7,7,Geelong,98.4320557491289,13,24,10,6
1256,158,148,0,1174,183,171,12,7,"North Melbourne",93.4713375796178,13,24,11,6
1294,142,178,0,1168,192,165,1,7,Adelaide,90.2627511591963,13,24,12,6
1349,179,154,0,1204,195,175,11,8,Melbourne,89.2512972572276,13,20,13,5
1504,184,137,0,1211,220,179,15,10,"St Kilda",80.5186170212766,13,12,14,3
1559,185,121,0,979,229,143,17,10,"West Coast",62.7966645285439,13,12,15,3
1436,188,142,0,1036,208,149,6,13,Fremantle,72.1448467966574,13,0,16,0
