against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
797,113,129,0,903,114,129,4,2,Collingwood,113.299874529486,9,28,1,7
668,110,118,1,826,93,118,18,2,"Western Bulldogs",123.652694610778,9,26,2,6
692,98,131,0,977,99,141,12,3,"North Melbourne",141.184971098266,9,24,3,6
664,136,144,0,834,88,115,10,3,Hawthorn,125.602409638554,9,24,4,6
852,132,156,0,924,120,128,14,3,Richmond,108.450704225352,9,24,5,6
860,134,148,0,880,121,122,5,5,Essendon,102.325581395349,9,16,6,4
855,123,100,0,802,122,117,7,5,Geelong,93.8011695906433,9,16,7,4
814,136,114,0,726,113,102,15,5,"St Kilda",89.1891891891892,9,16,8,4
778,106,133,1,763,112,105,3,5,Carlton,98.0719794344473,9,14,9,3
921,147,102,1,726,129,104,19,5,Fitzroy,78.8273615635179,9,14,10,3
950,122,112,1,736,138,104,16,5,Sydney,77.4736842105263,9,14,11,3
906,138,108,0,660,128,92,11,9,Melbourne,72.8476821192053,9,0,12,0
