against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2031,339,381,0,2631,282,375,14,5,Richmond,129.542097488922,23,68,18
1866,294,321,0,2553,262,372,12,7,"North Melbourne",136.816720257235,24,64,17
1920,306,373,0,2371,269,333,10,8,Hawthorn,123.489583333333,24,60,16
2230,310,321,0,2343,320,337,4,8,Collingwood,105.067264573991,24,60,16
1870,310,304,1,1954,260,275,18,9,"Western Bulldogs",104.491978609626,23,54,13
1989,285,244,0,1858,284,269,7,11,Geelong,93.4137757667169,22,44,11
1941,261,301,1,2053,280,292,3,11,Carlton,105.770221535291,22,42,10
2162,296,316,0,2110,311,299,5,12,Essendon,97.5948196114709,22,40,10
2327,317,303,1,1947,335,274,16,12,Sydney,83.6699613235926,22,38,9
2018,308,284,0,1790,285,251,15,15,"St Kilda",88.7016848364718,22,28,7
2481,339,270,1,1770,357,250,19,17,Fitzroy,71.3422007255139,22,18,4
2385,339,286,0,1840,341,259,11,19,Melbourne,77.1488469601677,22,12,3
