against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1986,276,360,0,2772,285,402,3,3,Carlton,139.577039274924,22,76,19
2165,347,379,0,2695,303,386,12,5,"North Melbourne",124.480369515012,23,68,18
2241,333,411,0,2823,318,402,19,7,Fitzroy,125.970548862115,23,60,16
2095,367,351,0,2583,288,372,4,8,Collingwood,123.293556085919,23,60,15
2251,337,329,1,2279,319,325,5,10,Essendon,101.243891603732,23,50,12
2140,274,301,0,2149,311,308,7,10,Geelong,100.420560747664,22,48,12
2336,344,352,0,2332,332,330,10,12,Hawthorn,99.8287671232877,22,40,10
2512,340,345,0,2451,362,351,14,13,Richmond,97.5716560509554,22,36,9
2463,345,281,1,2015,353,289,18,14,"Western Bulldogs",81.8107998375964,22,30,7
2666,344,294,0,2424,387,355,16,16,Sydney,90.9227306826707,22,24,6
2759,371,323,0,2093,398,295,11,16,Melbourne,75.8608191373686,22,24,6
2859,345,297,0,1857,419,260,15,19,"St Kilda",64.9527806925498,22,12,3
