against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1638,192,294,0,2238,241,324,14,4,Richmond,136.630036630037,23,72,19
1727,221,256,0,2098,251,307,17,6,"West Coast",121.482339316734,23,64,17
1785,207,256,0,2116,263,310,4,8,Collingwood,118.543417366947,23,60,15
1737,243,242,0,2036,249,299,10,8,Hawthorn,117.213586643638,23,60,15
1795,223,298,0,2374,262,346,11,8,Melbourne,132.256267409471,23,56,15
1743,297,220,0,1852,241,272,16,9,Sydney,106.253585771658,23,56,14
1691,233,309,1,1977,243,278,9,8,"Greater Western Sydney",116.913069189829,23,54,14
1629,273,267,0,2091,226,304,7,10,Geelong,128.360957642726,23,52,13
1790,236,240,0,1950,259,285,12,10,"North Melbourne",108.938547486034,22,48,12
1654,208,226,0,1780,241,259,13,10,"Port Adelaide",107.617896009674,22,48,12
1838,254,252,0,1932,264,280,5,10,Essendon,105.114254624592,22,48,12
1865,257,267,0,1941,268,279,1,10,Adelaide,104.075067024129,22,48,12
2037,237,231,0,1575,300,224,18,14,"Western Bulldogs",77.319587628866,22,32,8
2041,277,212,0,1556,294,224,6,14,Fremantle,76.2371386575208,22,32,8
2049,267,229,0,1825,297,266,2,17,"Brisbane Lions",89.0678379697413,22,20,5
2125,265,256,1,1606,310,225,15,17,"St Kilda",75.5764705882353,22,18,4
2182,316,222,0,1308,311,181,8,18,"Gold Coast",59.9450045829514,22,16,4
2282,272,201,0,1353,335,192,3,20,Carlton,59.2900964066608,22,8,2
