against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
167,23,23,0,269,24,41,3,0,Carlton,161.077844311377,2,8,1,2
159,27,21,0,237,22,36,18,0,"Western Bulldogs",149.056603773585,2,8,2,2
134,20,19,0,181,19,27,15,0,"St Kilda",135.074626865672,2,8,3,2
188,14,36,0,216,29,30,7,0,Geelong,114.893617021277,2,8,4,2
154,16,23,0,203,23,30,4,1,Collingwood,131.818181818182,2,4,5,1
170,26,19,0,211,24,32,17,1,"West Coast",124.117647058824,2,4,6,1
147,21,22,0,166,21,24,12,1,"North Melbourne",112.925170068027,2,4,7,1
185,23,22,0,208,27,31,16,1,Sydney,112.432432432432,2,4,8,1
178,28,25,0,175,25,25,5,1,Essendon,98.314606741573,2,4,9,1
191,23,32,0,182,28,25,13,1,"Port Adelaide",95.2879581151832,2,4,10,1
205,19,21,0,195,31,29,2,1,"Brisbane Lions",95.1219512195122,2,4,11,1
187,19,21,0,159,28,23,1,1,Adelaide,85.0267379679144,2,4,12,1
254,32,22,0,208,37,31,10,2,Hawthorn,81.8897637795276,2,0,13,0
266,20,27,0,165,41,23,6,2,Fremantle,62.0300751879699,2,0,14,0
218,26,11,0,131,32,20,11,2,Melbourne,60.0917431192661,2,0,15,0
255,27,20,0,152,38,22,14,2,Richmond,59.6078431372549,2,0,16,0
