against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1463,185,273,0,2277,213,334,15,2,"St Kilda",155.639097744361,23,80,21
1897,211,302,0,2408,281,351,7,4,Geelong,126.937269372694,23,72,19
2036,248,282,0,2460,298,363,18,8,"Western Bulldogs",120.825147347741,23,60,15
1858,256,306,0,2226,267,320,4,8,Collingwood,119.806243272336,23,60,15
1859,227,272,0,2270,272,333,1,8,Adelaide,122.108660570199,23,56,15
1994,266,244,1,2128,288,314,2,8,"Brisbane Lions",106.720160481444,23,54,14
2166,270,286,0,2374,316,348,3,10,Carlton,109.602954755309,23,52,13
2293,277,272,1,2150,336,313,5,12,Essendon,93.7636284343655,23,42,10
2120,284,252,0,1962,306,285,10,13,Hawthorn,92.5471698113208,22,36,9
2244,252,250,0,1990,332,290,13,13,"Port Adelaide",88.680926916221,22,36,9
2029,247,261,0,1893,297,272,17,14,"West Coast",93.2971907343519,22,32,8
2027,263,220,0,1888,294,278,16,14,Sydney,93.1425752343365,22,32,8
2015,257,216,1,1680,293,244,12,14,"North Melbourne",83.3746898263027,22,30,7
2259,261,223,0,1747,333,254,6,16,Fremantle,77.3351040283311,22,24,6
2388,300,244,1,1774,348,255,14,16,Richmond,74.2881072026801,22,22,5
2285,293,194,0,1706,332,252,11,18,Melbourne,74.6608315098468,22,16,4
