against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
849,111,163,0,1447,123,214,15,0,"St Kilda",170.435806831567,14,56,1,14
1099,115,196,0,1594,164,233,7,1,Geelong,145.040946314832,14,52,2,13
1215,153,168,0,1584,177,236,18,4,"Western Bulldogs",130.37037037037,14,40,3,10
1169,149,178,0,1384,170,201,4,5,Collingwood,118.391787852866,14,36,4,9
1208,140,151,0,1243,178,182,1,5,Adelaide,102.897350993377,14,36,5,9
1235,167,140,0,1298,178,193,2,6,"Brisbane Lions",105.101214574899,14,32,6,8
1324,154,180,0,1428,195,208,3,7,Carlton,107.85498489426,14,28,7,7
1321,163,169,0,1339,193,195,5,7,Essendon,101.362604087812,14,28,8,7
1417,145,165,0,1305,212,190,13,7,"Port Adelaide",92.0959774170783,14,28,9,7
1295,155,136,0,1234,190,183,16,8,Sydney,95.2895752895753,14,24,10,6
1383,183,143,0,1217,200,179,10,8,Hawthorn,87.9971077368041,14,24,11,6
1352,152,175,0,1201,200,171,17,10,"West Coast",88.8313609467456,14,16,12,4
1350,162,130,0,1042,198,152,12,10,"North Melbourne",77.1851851851852,14,16,13,4
1481,179,152,0,1148,217,166,14,11,Richmond,77.5151924375422,14,12,14,3
1508,176,141,0,1161,222,170,6,11,Fremantle,76.9893899204244,14,12,15,3
1470,204,121,0,1051,211,155,11,12,Melbourne,71.4965986394558,14,8,16,2
