against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
995,167,151,0,1399,138,208,7,3,Geelong,140.603015075377,15,48,1,12
1115,185,147,0,1275,155,188,17,4,"West Coast",114.349775784753,15,44,2,11
1087,163,158,0,1286,154,188,4,5,Collingwood,118.307267709292,15,40,3,10
1221,159,191,0,1361,177,195,2,5,"Brisbane Lions",111.466011466011,15,40,4,10
1098,132,165,0,1377,161,202,9,6,"Greater Western Sydney",125.409836065574,15,36,5,9
1226,140,159,0,1263,181,184,14,6,Richmond,103.017944535073,15,36,6,9
1126,142,174,0,1242,164,178,13,7,"Port Adelaide",110.301953818828,15,32,7,8
1127,179,169,0,1183,158,169,1,7,Adelaide,104.968944099379,15,32,8,8
1138,184,154,0,1162,159,168,5,7,Essendon,102.108963093146,15,32,9,8
1266,156,166,0,1264,185,183,12,8,"North Melbourne",99.8420221169036,15,28,10,7
1140,162,162,0,1122,163,160,6,8,Fremantle,98.4210526315789,15,28,11,7
1279,145,181,0,1201,189,170,18,8,"Western Bulldogs",93.9014855355747,15,28,12,7
1171,169,163,0,1141,167,163,10,9,Hawthorn,97.4380871050384,15,24,13,6
1226,182,152,0,1172,174,170,16,9,Sydney,95.5954323001631,15,24,14,6
1355,137,164,0,1094,203,155,15,9,"St Kilda",80.7380073800738,15,24,15,6
1380,138,160,0,1102,207,157,11,10,Melbourne,79.8550724637681,15,20,16,5
1339,181,147,0,1095,193,158,3,12,Carlton,81.7774458551158,15,12,17,3
1367,179,137,0,917,198,130,8,12,"Gold Coast",67.0811997073884,15,12,18,3
