against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
624,102,90,0,912,87,137,7,1,Geelong,146.153846153846,9,32,1,8
657,87,107,0,851,95,124,4,2,Collingwood,129.528158295282,9,28,2,7
666,84,110,0,860,97,125,9,3,"Greater Western Sydney",129.129129129129,9,24,3,6
797,101,117,0,825,116,118,2,3,"Brisbane Lions",103.513174404015,9,24,4,6
744,84,98,0,770,110,112,14,3,Richmond,103.494623655914,9,24,5,6
681,111,81,0,681,95,100,17,3,"West Coast",100,9,24,6,6
628,112,106,0,724,86,103,1,4,Adelaide,115.286624203822,9,20,7,5
711,81,112,0,766,105,109,13,4,"Port Adelaide",107.735583684951,9,20,8,5
628,106,93,0,693,87,100,6,5,Fremantle,110.350318471338,9,16,9,4
712,106,100,0,718,101,103,5,5,Essendon,100.842696629213,9,16,10,4
719,101,99,0,717,103,103,10,5,Hawthorn,99.7218358831711,9,16,11,4
753,93,114,0,726,110,102,18,5,"Western Bulldogs",96.4143426294821,9,16,12,4
755,83,93,0,675,112,97,15,5,"St Kilda",89.4039735099338,9,16,13,4
800,122,91,0,679,113,98,16,6,Sydney,84.875,9,12,14,3
820,82,91,0,625,123,89,11,6,Melbourne,76.219512195122,9,12,15,3
728,104,91,0,553,104,77,8,6,"Gold Coast",75.9615384615385,9,12,16,3
841,109,102,0,690,122,98,12,7,"North Melbourne",82.0451843043995,9,8,17,2
851,113,86,0,650,123,94,3,8,Carlton,76.3807285546416,9,4,18,1
