against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
788,134,118,0,1192,109,179,7,1,Geelong,151.269035532995,12,44,1,11
927,117,146,0,1232,135,181,9,4,"Greater Western Sydney",132.901833872708,13,36,2,9
866,122,138,0,1104,124,161,4,3,Collingwood,127.482678983834,12,36,3,9
930,156,146,0,1070,129,154,1,5,Adelaide,115.05376344086,13,32,4,8
942,144,106,0,970,133,144,17,4,"West Coast",102.972399150743,12,32,5,8
854,134,129,0,945,120,136,6,5,Fremantle,110.655737704918,12,28,6,7
1014,132,151,0,1045,147,149,2,5,"Brisbane Lions",103.057199211045,12,28,7,7
1098,126,140,0,1010,162,145,14,6,Richmond,91.9854280510018,13,28,8,7
960,114,139,0,1033,141,149,13,6,"Port Adelaide",107.604166666667,12,24,9,6
895,139,134,0,938,126,134,5,6,Essendon,104.804469273743,12,24,10,6
1025,107,136,0,892,153,126,15,6,"St Kilda",87.0243902439024,12,24,11,6
949,139,124,0,940,135,136,10,7,Hawthorn,99.0516332982086,12,20,12,5
1156,142,141,0,1071,169,155,12,8,"North Melbourne",92.6470588235294,13,20,13,5
1101,117,151,0,991,164,140,18,7,"Western Bulldogs",90.0090826521344,12,20,14,5
1036,154,121,0,931,147,135,16,8,Sydney,89.8648648648649,12,16,15,4
1102,106,130,0,838,166,118,11,9,Melbourne,76.043557168784,12,12,16,3
1124,158,124,0,808,161,114,8,10,"Gold Coast",71.8861209964413,13,12,17,3
1159,157,124,0,916,167,132,3,11,Carlton,79.0336496980155,13,8,18,2
