against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1959,273,382,0,2560,281,363,4,4,Collingwood,130.678917815212,22,72,18
2046,276,361,0,2743,295,397,10,5,Hawthorn,134.066471163245,23,68,18
1928,302,297,0,2211,271,319,12,8,"North Melbourne",114.678423236515,23,60,15
2139,303,316,1,2458,306,357,14,7,Richmond,114.913510986442,23,58,15
2030,290,300,1,2202,290,317,16,9,Sydney,108.472906403941,23,54,13
1859,257,293,0,2081,267,298,3,9,Carlton,111.941904249597,22,52,13
2141,299,316,1,2170,307,309,18,11,"Western Bulldogs",101.354507239608,22,42,10
2333,359,292,0,1930,329,273,7,14,Geelong,82.7261037291042,22,32,8
2518,364,297,1,2085,359,298,5,14,Essendon,82.8038125496426,22,30,7
2474,368,284,0,2072,351,298,19,16,Fitzroy,83.7510105092967,22,24,6
2492,302,341,0,2117,365,296,11,17,Melbourne,84.9518459069021,22,20,5
2676,372,286,2,1966,384,280,15,17,"St Kilda",73.4678624813154,22,16,3
