against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
997,133,187,0,1291,144,184,4,2,Collingwood,129.488465396189,10,32,1,8
883,145,126,0,1134,123,168,12,2,"North Melbourne",128.425821064553,10,32,2,8
1035,153,145,1,1159,147,169,14,2,Richmond,111.980676328502,10,30,3,7
967,121,164,0,1226,141,177,10,3,Hawthorn,126.783867631851,10,28,4,7
923,119,154,0,1036,134,147,3,4,Carlton,112.242686890574,10,24,5,6
1037,125,143,1,1121,152,163,16,4,Sydney,108.100289296046,10,22,6,5
1101,153,131,1,1133,158,167,18,5,"Western Bulldogs",102.906448683015,10,18,7,4
1222,172,134,1,1076,175,157,5,5,Essendon,88.0523731587561,10,18,8,4
1112,146,146,0,932,161,131,7,6,Geelong,83.8129496402878,10,16,9,4
1222,136,185,0,1067,181,147,11,8,Melbourne,87.3158756137479,10,8,10,2
1310,200,144,2,936,185,132,15,7,"St Kilda",71.4503816793893,10,8,11,1
1290,186,130,0,988,184,143,19,9,Fitzroy,76.5891472868217,10,4,12,1
