against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
748,112,145,0,991,106,141,19,2,Fitzroy,132.486631016043,9,28,1,7
830,122,151,0,1141,118,165,12,3,"North Melbourne",137.469879518072,9,24,2,6
931,121,132,0,1128,135,166,5,3,Essendon,121.160042964554,9,24,3,6
875,125,128,0,962,125,139,3,3,Carlton,109.942857142857,9,24,4,6
837,129,136,0,976,118,140,10,4,Hawthorn,116.606929510155,9,20,5,5
812,110,123,0,831,117,118,7,4,Geelong,102.339901477833,9,20,6,5
1035,135,107,0,869,150,127,18,4,"Western Bulldogs",83.9613526570048,9,20,7,5
929,131,129,0,933,133,134,4,5,Collingwood,100.43057050592,9,16,8,4
998,134,118,0,970,144,142,11,5,Melbourne,97.1943887775551,9,16,9,4
1086,162,129,0,855,154,121,16,5,Sydney,78.7292817679558,9,16,10,4
1032,120,119,0,809,152,115,14,8,Richmond,78.3914728682171,9,4,11,1
1141,121,105,0,789,170,114,15,8,"St Kilda",69.1498685363716,9,4,12,1
