against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2435,329,371,0,2915,351,424,12,8,"North Melbourne",119.712525667351,24,64,16
2249,317,364,0,2890,322,421,10,7,Hawthorn,128.501556247221,24,60,17
2460,294,345,0,3051,361,451,5,7,Essendon,124.024390243902,25,60,18
2295,321,363,0,2817,329,409,19,9,Fitzroy,122.745098039216,24,60,15
2358,306,329,0,2441,342,352,3,10,Carlton,103.519932145886,23,52,13
2247,297,299,0,2315,325,336,4,10,Collingwood,103.026257231865,22,48,12
2428,316,266,0,2102,352,306,18,12,"Western Bulldogs",86.5733113673806,22,40,10
2557,355,294,0,2220,367,321,11,13,Melbourne,86.8204927649589,22,36,9
2197,289,270,0,1932,318,277,7,14,Geelong,87.938097405553,22,32,8
2392,286,312,0,2124,351,302,14,15,Richmond,88.7959866220736,22,28,7
2670,366,286,0,2068,384,297,16,15,Sydney,77.4531835205993,22,28,7
2737,313,290,0,2150,404,310,15,17,"St Kilda",78.5531603945926,22,20,5
