against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
462,54,82,0,652,68,95,3,1,Carlton,141.125541125541,5,16,1,4
489,57,88,0,688,72,100,16,1,Sydney,140.695296523517,5,16,2,4
465,63,86,0,596,67,85,10,2,Hawthorn,128.172043010753,5,12,3,3
590,68,84,0,672,87,98,7,2,Geelong,113.898305084746,5,12,4,3
596,68,63,0,615,88,92,19,2,Fitzroy,103.187919463087,5,12,5,3
488,62,55,0,499,71,74,5,2,Essendon,102.254098360656,5,12,6,3
578,56,84,0,570,87,81,2,2,"Brisbane Lions",98.6159169550173,5,12,7,3
562,82,82,0,514,80,72,12,2,"North Melbourne",91.4590747330961,5,12,8,3
487,73,69,0,501,69,72,11,3,Melbourne,102.874743326489,5,8,9,2
645,87,66,0,552,93,81,17,3,"West Coast",85.5813953488372,5,8,10,2
609,81,40,0,448,88,68,4,3,Collingwood,73.5632183908046,5,8,11,2
628,76,76,0,568,92,82,14,4,Richmond,90.4458598726115,5,4,12,1
610,88,53,0,551,87,83,15,4,"St Kilda",90.327868852459,5,4,13,1
579,69,56,0,362,85,51,18,4,"Western Bulldogs",62.5215889464594,5,4,14,1
