against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1770,216,326,0,2816,259,415,5,1,Essendon,159.09604519774,22,84,1,21
1979,233,291,0,2667,291,396,3,6,Carlton,134.765032844871,22,64,2,16
2159,275,289,0,2557,314,378,11,8,Melbourne,118.434460398333,22,56,3,14
2304,276,293,0,2447,338,359,12,8,"North Melbourne",106.206597222222,22,56,4,14
2306,284,260,1,2234,337,329,7,9,Geelong,96.877710320902,22,50,5,12
2222,284,298,0,2602,323,384,2,10,"Brisbane Lions",117.101710171017,22,48,6,12
2241,261,239,0,2321,330,347,18,10,"Western Bulldogs",103.569834895136,22,48,7,12
2251,283,236,0,2198,328,327,10,10,Hawthorn,97.6454908929365,22,48,8,12
2221,283,250,0,2068,323,303,14,11,Richmond,93.1112111661414,22,44,9,11
2219,251,256,0,2254,328,333,16,12,Sydney,101.577287066246,22,40,10,10
2347,265,317,0,2255,347,323,1,13,Adelaide,96.080102258202,22,36,11,9
2618,296,230,0,1886,387,276,6,14,Fremantle,72.0397249809015,22,32,12,8
2399,293,260,1,2216,351,326,17,14,"West Coast",92.3718215923301,22,30,13,7
2295,261,290,1,1928,339,273,13,14,"Port Adelaide",84.0087145969499,22,30,14,7
2431,295,283,0,2089,356,301,4,15,Collingwood,85.9317153434801,22,28,15,7
2631,285,223,1,1855,391,272,15,19,"St Kilda",70.5055112124667,22,10,16,2
