against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1239,153,215,0,1949,181,289,5,0,Essendon,157.304277643261,15,60,1,15
1411,157,210,0,1848,209,273,3,3,Carlton,130.970942593905,15,48,2,12
1443,195,166,0,1486,208,220,14,6,Richmond,102.979902979903,15,36,3,9
1689,177,194,0,1682,252,248,12,6,"North Melbourne",99.5855535820012,15,36,4,9
1563,189,175,1,1525,229,225,7,6,Geelong,97.5687779910429,15,34,5,8
1474,190,190,0,1648,214,243,11,7,Melbourne,111.804613297151,15,32,6,8
1555,175,166,0,1666,230,250,18,7,"Western Bulldogs",107.138263665595,15,32,7,8
1618,190,202,0,1702,238,250,2,8,"Brisbane Lions",105.191594561187,15,28,8,7
1552,184,220,0,1588,228,228,1,8,Adelaide,102.319587628866,15,28,9,7
1579,205,162,0,1524,229,227,10,8,Hawthorn,96.5167827739075,15,28,10,7
1620,186,191,1,1601,239,235,17,8,"West Coast",98.8271604938272,15,26,11,6
1598,200,202,0,1492,233,215,4,9,Collingwood,93.3667083854819,15,24,12,6
1783,193,166,0,1342,265,196,6,9,Fremantle,75.266404935502,15,24,13,6
1567,181,162,0,1458,231,216,16,10,Sydney,93.0440331844288,15,20,14,5
1622,182,193,1,1297,240,184,13,10,"Port Adelaide",79.9630086313194,15,18,15,4
1830,204,147,1,1335,271,198,15,13,"St Kilda",72.9508196721311,15,6,16,1
