abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
10,17,112,Essendon,5,100,"1989-03-31 19:40:00",12,14,96,"West Coast",17,23430,0,0,"1989-03-31 16:40:00",1,"Round 1",,+11:00,607336800,"2022-11-17 09:53:43",W.A.C.A.,Essendon,5,1989
18,19,132,"Western Bulldogs",18,100,"1989-04-01 14:10:00",13,10,73,Carlton,3,23432,0,0,"1989-04-01 13:10:00",1,"Round 1",,+11:00,607403400,"2022-11-17 09:53:43","Princes Park","Western Bulldogs",18,1989
17,11,83,Hawthorn,10,100,"1989-04-01 14:10:00",15,13,93,Collingwood,4,23433,0,0,"1989-04-01 13:10:00",1,"Round 1",,+11:00,607403400,"2022-11-17 09:53:43","Waverley Park",Collingwood,4,1989
15,16,111,Fitzroy,19,100,"1989-04-01 14:10:00",8,18,116,Melbourne,11,23434,0,0,"1989-04-01 13:10:00",1,"Round 1",,+11:00,607403400,"2022-11-17 09:53:43",M.C.G.,Melbourne,11,1989
7,15,97,"Brisbane Lions",2,100,"1989-04-01 14:10:00",16,20,136,"St Kilda",15,23431,0,0,"1989-04-01 13:10:00",1,"Round 1",,+11:00,607403400,"2022-11-17 09:53:43","Moorabbin Oval","St Kilda",15,1989
21,17,123,Geelong,7,100,"1989-04-02 14:10:00",17,18,125,"North Melbourne",12,23435,0,0,"1989-04-02 13:10:00",1,"Round 1",,+11:00,607489800,"2022-11-17 09:53:43",M.C.G.,"North Melbourne",12,1989
7,11,73,Richmond,14,100,"1989-04-02 14:10:00",17,12,89,Sydney,16,23436,0,0,"1989-04-02 13:10:00",1,"Round 1",,+11:00,607489800,"2022-11-17 09:53:43",S.C.G.,Sydney,16,1989
14,9,68,Melbourne,11,100,"1989-04-08 14:10:00",10,14,94,Essendon,5,23425,0,0,"1989-04-08 13:10:00",2,"Round 2",,+11:00,608008200,"2022-11-17 09:53:43","Windy Hill",Essendon,5,1989
15,21,141,Hawthorn,10,100,"1989-04-08 14:10:00",6,11,72,"North Melbourne",12,23427,0,0,"1989-04-08 13:10:00",2,"Round 2",,+11:00,608008200,"2022-11-17 09:53:43","Waverley Park",Hawthorn,10,1989
10,13,88,"Western Bulldogs",18,100,"1989-04-08 14:10:00",12,24,156,Richmond,14,23426,0,0,"1989-04-08 13:10:00",2,"Round 2",,+11:00,608008200,"2022-11-17 09:53:43",M.C.G.,Richmond,14,1989
14,13,92,Carlton,3,100,"1989-04-08 14:10:00",18,13,96,"St Kilda",15,23423,0,0,"1989-04-08 13:10:00",2,"Round 2",,+11:00,608008200,"2022-11-17 09:53:43","Moorabbin Oval","St Kilda",15,1989
11,16,107,Collingwood,4,100,"1989-04-08 14:10:00",12,20,132,Fitzroy,19,23424,0,0,"1989-04-08 13:10:00",2,"Round 2",,+11:00,608008200,"2022-11-17 09:53:43","Princes Park",Fitzroy,19,1989
17,8,65,Sydney,16,100,"1989-04-09 14:10:00",15,18,123,"Brisbane Lions",2,23428,0,0,"1989-04-09 13:10:00",2,"Round 2",,+11:00,608094600,"2022-11-17 09:53:43",Carrara,"Brisbane Lions",2,1989
14,11,80,"West Coast",17,100,"1989-04-09 14:10:00",19,26,175,Geelong,7,23429,0,0,"1989-04-09 13:10:00",2,"Round 2",,+11:00,608094600,"2022-11-17 09:53:43","Kardinia Park",Geelong,7,1989
9,11,75,"Brisbane Lions",2,100,"1989-04-15 14:10:00",21,19,135,Collingwood,4,23409,0,0,"1989-04-15 13:10:00",3,"Round 3",,+11:00,608613000,"2022-11-17 09:53:43","Victoria Park",Collingwood,4,1989
13,13,91,Essendon,5,100,"1989-04-15 14:10:00",15,20,135,Hawthorn,10,23410,0,0,"1989-04-15 13:10:00",3,"Round 3",,+11:00,608613000,"2022-11-17 09:53:43","Princes Park",Hawthorn,10,1989
14,18,122,Melbourne,11,100,"1989-04-15 14:10:00",13,8,61,Richmond,14,23413,0,0,"1989-04-15 13:10:00",3,"Round 3",,+11:00,608613000,"2022-11-17 09:53:43",M.C.G.,Melbourne,11,1989
18,19,132,Fitzroy,19,100,"1989-04-15 14:10:00",8,19,122,"St Kilda",15,23411,0,0,"1989-04-15 13:10:00",3,"Round 3",,+11:00,608613000,"2022-11-17 09:53:43","Waverley Park",Fitzroy,19,1989
12,12,84,"North Melbourne",12,100,"1989-04-15 14:10:00",18,8,66,"Western Bulldogs",18,23412,0,0,"1989-04-15 13:10:00",3,"Round 3",,+11:00,608613000,"2022-11-17 09:53:43","Western Oval","North Melbourne",12,1989
10,9,64,Carlton,3,100,"1989-04-16 14:10:00",21,16,117,Geelong,7,23414,0,0,"1989-04-16 13:10:00",3,"Round 3",,+11:00,608699400,"2022-11-17 09:53:43","Kardinia Park",Geelong,7,1989
17,11,83,"West Coast",17,100,"1989-04-16 14:10:00",14,20,134,Sydney,16,23415,0,0,"1989-04-16 13:10:00",3,"Round 3",,+11:00,608699400,"2022-11-17 09:53:43",S.C.G.,Sydney,16,1989
11,7,53,"Brisbane Lions",2,100,"1989-04-21 19:40:00",13,11,79,Melbourne,11,23459,0,0,"1989-04-21 18:40:00",4,"Round 4",,+11:00,609151200,"2022-11-17 09:53:43",M.C.G.,Melbourne,11,1989
11,14,95,"St Kilda",15,100,"1989-04-22 14:10:00",21,23,159,Collingwood,4,23460,0,0,"1989-04-22 13:10:00",4,"Round 4",,+11:00,609217800,"2022-11-17 09:53:43","Victoria Park",Collingwood,4,1989
15,23,153,Sydney,16,100,"1989-04-22 14:10:00",13,11,79,Fitzroy,19,23461,0,0,"1989-04-22 13:10:00",4,"Round 4",,+11:00,609217800,"2022-11-17 09:53:43","Princes Park",Sydney,16,1989
7,18,115,"North Melbourne",12,100,"1989-04-23 14:10:00",12,10,72,"West Coast",17,23463,0,0,"1989-04-23 11:10:00",4,"Round 4",,+11:00,609304200,"2022-11-17 09:53:43",W.A.C.A.,"North Melbourne",12,1989
15,14,99,Geelong,7,100,"1989-04-23 14:10:00",15,12,87,"Western Bulldogs",18,23462,0,0,"1989-04-23 13:10:00",4,"Round 4",,+11:00,609304200,"2022-11-17 09:53:43","Western Oval",Geelong,7,1989
12,21,138,Essendon,5,100,"1989-04-25 14:10:00",20,15,110,Carlton,3,23464,0,0,"1989-04-25 13:10:00",4,"Round 4",,+11:00,609477000,"2022-11-17 09:53:43","Princes Park",Essendon,5,1989
20,15,110,Hawthorn,10,100,"1989-04-25 14:10:00",12,9,66,Richmond,14,23465,0,0,"1989-04-25 13:10:00",4,"Round 4",,+11:00,609477000,"2022-11-17 09:53:43","Waverley Park",Hawthorn,10,1989
12,12,84,"St Kilda",15,100,"1989-04-29 14:10:00",18,20,138,Essendon,5,23361,0,0,"1989-04-29 13:10:00",5,"Round 5",,+11:00,609822600,"2022-11-17 09:53:43","Windy Hill",Essendon,5,1989
11,10,71,Carlton,3,100,"1989-04-29 14:10:00",17,18,125,Hawthorn,10,23360,0,0,"1989-04-29 13:10:00",5,"Round 5",,+11:00,609822600,"2022-11-17 09:53:43","Waverley Park",Hawthorn,10,1989
11,10,71,"Western Bulldogs",18,100,"1989-04-29 14:10:00",16,11,82,Melbourne,11,23363,0,0,"1989-04-29 13:10:00",5,"Round 5",,+11:00,609822600,"2022-11-17 09:53:43",M.C.G.,Melbourne,11,1989
16,16,112,Geelong,7,100,"1989-04-29 14:10:00",17,16,113,Fitzroy,19,23362,0,0,"1989-04-29 13:10:00",5,"Round 5",,+11:00,609822600,"2022-11-17 09:53:43","Princes Park",Fitzroy,19,1989
11,19,125,"West Coast",17,100,"1989-04-30 14:10:00",13,10,73,"Brisbane Lions",2,23364,0,0,"1989-04-30 13:10:00",5,"Round 5",,+11:00,609909000,"2022-11-17 09:53:43",Carrara,"West Coast",17,1989
15,26,171,Richmond,14,100,"1989-04-30 14:10:00",14,20,134,"North Melbourne",12,23366,0,0,"1989-04-30 13:10:00",5,"Round 5",,+11:00,609909000,"2022-11-17 09:53:43",M.C.G.,Richmond,14,1989
12,9,66,Collingwood,4,100,"1989-04-30 14:10:00",17,10,77,Sydney,16,23365,0,0,"1989-04-30 13:10:00",5,"Round 5",,+11:00,609909000,"2022-11-17 09:53:43",S.C.G.,Sydney,16,1989
17,12,89,Fitzroy,19,100,"1989-05-05 19:40:00",9,12,81,"West Coast",17,23467,0,0,"1989-05-05 16:40:00",6,"Round 6",,+11:00,610360800,"2022-11-17 09:53:43",W.A.C.A.,Fitzroy,19,1989
12,9,66,Richmond,14,100,"1989-05-06 14:10:00",12,15,102,Carlton,3,23468,0,0,"1989-05-06 13:10:00",6,"Round 6",,+11:00,610427400,"2022-11-17 09:53:43","Waverley Park",Carlton,3,1989
13,25,163,Geelong,7,100,"1989-05-06 14:10:00",15,26,171,Hawthorn,10,23470,0,0,"1989-05-06 13:10:00",6,"Round 6",,+11:00,610427400,"2022-11-17 09:53:43","Princes Park",Hawthorn,10,1989
