abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
10,20,130,Richmond,14,100,"1982-03-20 13:10:00",11,13,89,Fitzroy,19,24372,0,0,"1982-03-20 12:10:00",2,"Round 2",,+11:00,385438200,"2022-11-17 09:54:04","Waverley Park",Richmond,14,1982
11,17,113,Fitzroy,19,100,"1982-03-27 13:10:00",17,16,113,Carlton,3,24478,0,0,"1982-03-27 12:10:00",1,"Round 1",,+11:00,386043000,"2022-11-17 09:54:04","Princes Park",,,1982
20,21,146,Geelong,7,100,"1982-03-27 13:10:00",16,7,58,Collingwood,4,24479,0,0,"1982-03-27 12:10:00",1,"Round 1",,+11:00,386043000,"2022-11-17 09:54:04","Waverley Park",Geelong,7,1982
15,11,81,"Western Bulldogs",18,100,"1982-03-27 13:10:00",16,29,190,Essendon,5,24480,0,0,"1982-03-27 12:10:00",1,"Round 1",,+11:00,386043000,"2022-11-17 09:54:04","Windy Hill",Essendon,5,1982
14,15,104,"North Melbourne",12,100,"1982-03-27 13:10:00",14,18,122,Richmond,14,24482,0,0,"1982-03-27 12:10:00",1,"Round 1",,+11:00,386043000,"2022-11-17 09:54:04",M.C.G.,Richmond,14,1982
17,17,119,Hawthorn,10,100,"1982-03-27 13:10:00",16,12,88,"St Kilda",15,24481,0,0,"1982-03-27 12:10:00",1,"Round 1",,+11:00,386043000,"2022-11-17 09:54:04","Moorabbin Oval",Hawthorn,10,1982
12,16,108,Melbourne,11,100,"1982-03-28 13:10:00",17,20,137,Sydney,16,24483,0,0,"1982-03-28 13:10:00",1,"Round 1",,+11:00,386129400,"2022-11-17 09:54:04",S.C.G.,Sydney,16,1982
13,13,91,Essendon,5,100,"1982-04-03 13:10:00",17,8,65,Carlton,3,24373,0,0,"1982-04-03 12:10:00",2,"Round 2",,+11:00,386647800,"2022-11-17 09:54:04","Waverley Park",Essendon,5,1982
12,11,78,Geelong,7,100,"1982-04-03 13:10:00",19,13,97,Hawthorn,10,24375,0,0,"1982-04-03 12:10:00",2,"Round 2",,+11:00,386647800,"2022-11-17 09:54:04","Princes Park",Hawthorn,10,1982
10,16,106,"St Kilda",15,100,"1982-04-03 13:10:00",26,20,146,Melbourne,11,24376,0,0,"1982-04-03 12:10:00",2,"Round 2",,+11:00,386647800,"2022-11-17 09:54:04",M.C.G.,Melbourne,11,1982
21,16,117,Sydney,16,100,"1982-04-03 13:10:00",13,24,157,"North Melbourne",12,24377,0,0,"1982-04-03 12:10:00",2,"Round 2",,+11:00,386647800,"2022-11-17 09:54:04","Arden St","North Melbourne",12,1982
14,15,104,Collingwood,4,100,"1982-04-03 13:10:00",8,14,92,"Western Bulldogs",18,24374,0,0,"1982-04-03 12:10:00",2,"Round 2",,+11:00,386647800,"2022-11-17 09:54:04","Western Oval",Collingwood,4,1982
8,20,128,Carlton,3,100,"1982-04-10 14:10:00",16,13,94,Collingwood,4,24429,0,0,"1982-04-10 13:10:00",3,"Round 3",,+11:00,387256200,"2022-11-17 09:54:04","Victoria Park",Carlton,3,1982
22,20,142,Sydney,16,100,"1982-04-10 14:10:00",14,17,116,"St Kilda",15,24431,0,0,"1982-04-10 13:10:00",3,"Round 3",,+11:00,387256200,"2022-11-17 09:54:04","Moorabbin Oval",Sydney,16,1982
14,25,164,"North Melbourne",12,100,"1982-04-10 14:10:00",16,14,100,Fitzroy,19,24430,0,0,"1982-04-10 13:10:00",3,"Round 3",,+11:00,387256200,"2022-11-17 09:54:04","Junction Oval","North Melbourne",12,1982
16,5,46,Melbourne,11,100,"1982-04-12 14:10:00",12,21,138,Geelong,7,24434,0,0,"1982-04-12 13:10:00",3,"Round 3",,+11:00,387429000,"2022-11-17 09:54:04","Kardinia Park",Geelong,7,1982
9,7,51,"Western Bulldogs",18,100,"1982-04-12 14:10:00",26,28,194,Hawthorn,10,24433,0,0,"1982-04-12 13:10:00",3,"Round 3",,+11:00,387429000,"2022-11-17 09:54:04","Waverley Park",Hawthorn,10,1982
14,16,110,Essendon,5,100,"1982-04-12 14:10:00",22,25,172,Richmond,14,24432,0,0,"1982-04-12 13:10:00",3,"Round 3",,+11:00,387429000,"2022-11-17 09:54:04",M.C.G.,Richmond,14,1982
15,12,87,Hawthorn,10,100,"1982-04-17 14:10:00",22,21,148,Carlton,3,24496,0,0,"1982-04-17 13:10:00",4,"Round 4",,+11:00,387861000,"2022-11-17 09:54:04","Princes Park",Carlton,3,1982
24,14,108,"North Melbourne",12,100,"1982-04-17 14:10:00",19,12,91,Essendon,5,24498,0,0,"1982-04-17 13:10:00",4,"Round 4",,+11:00,387861000,"2022-11-17 09:54:04","Windy Hill","North Melbourne",12,1982
19,19,133,"Western Bulldogs",18,100,"1982-04-17 14:10:00",12,19,126,Melbourne,11,24499,0,0,"1982-04-17 13:10:00",4,"Round 4",,+11:00,387861000,"2022-11-17 09:54:04",M.C.G.,"Western Bulldogs",18,1982
