abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
12,14,96,Essendon,5,100,"1970-04-04 14:10:00",19,21,145,Carlton,3,32894,0,0,"1970-04-04 13:10:00",1,"Round 1",,+11:00,8046600,"2022-11-21 16:28:21","Princes Park",Carlton,3,1970
9,21,135,Geelong,7,100,"1970-04-04 14:10:00",12,19,126,Hawthorn,10,32896,0,0,"1970-04-04 13:10:00",1,"Round 1",,+11:00,8046600,"2022-11-21 16:28:21","Glenferrie Oval",Geelong,7,1970
6,7,48,"North Melbourne",12,100,"1970-04-04 14:10:00",16,14,100,"St Kilda",15,32898,0,0,"1970-04-04 13:10:00",1,"Round 1",,+11:00,8046600,"2022-11-21 16:28:21","Moorabbin Oval","St Kilda",15,1970
9,14,93,Melbourne,11,100,"1970-04-04 14:10:00",14,9,68,Sydney,16,32897,0,0,"1970-04-04 13:10:00",1,"Round 1",,+11:00,8046600,"2022-11-21 16:28:21","Lake Oval",Melbourne,11,1970
10,23,148,Collingwood,4,100,"1970-04-04 14:10:00",12,12,84,"Western Bulldogs",18,32895,0,0,"1970-04-04 13:10:00",1,"Round 1",,+11:00,8046600,"2022-11-21 16:28:21","Western Oval",Collingwood,4,1970
20,16,116,Fitzroy,19,100,"1970-04-05 13:45:00",12,14,96,Richmond,14,32899,0,0,"1970-04-05 12:45:00",1,"Round 1",,+11:00,8131500,"2022-11-21 16:28:21",M.C.G.,Fitzroy,19,1970
16,13,94,Richmond,14,100,"1970-04-11 14:10:00",19,19,133,Collingwood,4,32975,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21","Victoria Park",Collingwood,4,1970
22,14,106,"Western Bulldogs",18,100,"1970-04-11 14:10:00",14,10,74,Essendon,5,32976,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21","Windy Hill","Western Bulldogs",18,1970
7,16,103,Carlton,3,100,"1970-04-11 14:10:00",9,12,81,Geelong,7,32974,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21","Kardinia Park",Carlton,3,1970
19,11,85,Hawthorn,10,100,"1970-04-11 14:10:00",12,14,96,Melbourne,11,32978,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21",M.C.G.,Melbourne,11,1970
12,8,60,Sydney,16,100,"1970-04-11 14:10:00",11,8,59,"North Melbourne",12,32979,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21","Arden St",Sydney,16,1970
23,23,161,"St Kilda",15,100,"1970-04-11 14:10:00",9,7,51,Fitzroy,19,32977,0,0,"1970-04-11 13:10:00",2,"Round 2",,+11:00,8651400,"2022-11-21 16:28:21","Junction Oval","St Kilda",15,1970
11,15,101,Hawthorn,10,100,"1970-04-18 14:10:00",24,14,108,Collingwood,4,32921,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21","Victoria Park",Collingwood,4,1970
16,8,64,Melbourne,11,100,"1970-04-18 14:10:00",13,18,121,"North Melbourne",12,32925,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21","Arden St","North Melbourne",12,1970
11,15,101,Carlton,3,100,"1970-04-18 14:10:00",12,17,114,Richmond,14,32920,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21",M.C.G.,Richmond,14,1970
10,15,100,Essendon,5,100,"1970-04-18 14:10:00",17,12,89,Sydney,16,32922,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21","Lake Oval",Essendon,5,1970
14,10,74,"St Kilda",15,100,"1970-04-18 14:10:00",23,14,107,"Western Bulldogs",18,32924,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21","Western Oval","Western Bulldogs",18,1970
12,17,114,Geelong,7,100,"1970-04-18 14:10:00",11,7,53,Fitzroy,19,32923,0,0,"1970-04-18 13:10:00",3,"Round 3",,+11:00,9256200,"2022-11-21 16:28:21","Waverley Park",Geelong,7,1970
15,13,93,"North Melbourne",12,100,"1970-04-25 14:10:00",16,16,112,Carlton,3,33011,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21","Princes Park",Carlton,3,1970
17,14,101,Collingwood,4,100,"1970-04-25 14:10:00",9,14,93,Geelong,7,33012,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21","Kardinia Park",Collingwood,4,1970
14,16,110,Essendon,5,100,"1970-04-25 14:10:00",10,10,70,Hawthorn,10,33013,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21","Glenferrie Oval",Essendon,5,1970
13,13,91,Fitzroy,19,100,"1970-04-25 14:10:00",19,17,121,Melbourne,11,33014,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21",M.C.G.,Melbourne,11,1970
12,7,54,Richmond,14,100,"1970-04-25 14:10:00",19,15,109,"St Kilda",15,33016,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21","Moorabbin Oval","St Kilda",15,1970
6,9,60,"Western Bulldogs",18,100,"1970-04-25 14:10:00",11,11,77,Sydney,16,33015,0,0,"1970-04-25 13:10:00",4,"Round 4",,+11:00,9861000,"2022-11-21 16:28:21","Waverley Park",Sydney,16,1970
