abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
16,10,76,Adelaide,1,100,"1995-03-31 20:10:00",13,11,79,"North Melbourne",12,22452,0,0,"1995-03-31 19:10:00",1,"Round 1",,+11:00,796641000,"2022-11-10 21:19:19",M.C.G.,"North Melbourne",12,1995
7,11,73,Melbourne,11,100,"1995-04-01 14:10:00",15,12,87,Geelong,7,22456,0,0,"1995-04-01 13:10:00",1,"Round 1",,+11:00,796705800,"2022-11-10 21:19:19","Kardinia Park",Geelong,7,1995
4,11,70,"Brisbane Lions",2,100,"1995-04-01 14:10:00",7,20,127,Hawthorn,10,22453,0,0,"1995-04-01 13:10:00",1,"Round 1",,+11:00,796705800,"2022-11-10 21:19:19","Waverley Park",Hawthorn,10,1995
13,12,85,Fremantle,6,100,"1995-04-01 14:10:00",18,12,90,Richmond,14,22455,0,0,"1995-04-01 13:10:00",1,"Round 1",,+11:00,796705800,"2022-11-10 21:19:19",M.C.G.,Richmond,14,1995
16,16,112,Essendon,5,100,"1995-04-01 14:10:00",2,6,38,Fitzroy,19,22454,0,0,"1995-04-01 13:10:00",1,"Round 1",,+11:00,796705800,"2022-11-10 21:19:19","Western Oval",Essendon,5,1995
12,9,66,Collingwood,4,100,"1995-04-02 14:10:00",11,14,95,Carlton,3,22457,0,0,"1995-04-02 13:10:00",1,"Round 1",,+11:00,796792200,"2022-11-10 21:19:19",M.C.G.,Carlton,3,1995
13,12,85,Sydney,16,100,"1995-04-02 14:10:00",12,15,102,"Western Bulldogs",18,22458,0,0,"1995-04-02 13:10:00",1,"Round 1",,+11:00,796792200,"2022-11-10 21:19:19","Western Oval","Western Bulldogs",18,1995
9,11,75,"St Kilda",15,100,"1995-04-02 14:15:00",13,18,121,"West Coast",17,22459,0,0,"1995-04-02 11:15:00",1,"Round 1",,+11:00,796792500,"2022-11-10 21:19:19",W.A.C.A.,"West Coast",17,1995
19,12,91,Essendon,5,100,"1995-04-07 20:40:00",16,11,82,Fremantle,6,22393,0,0,"1995-04-07 17:40:00",2,"Round 2",,+11:00,797247600,"2022-11-10 21:19:19",W.A.C.A.,Essendon,5,1995
8,8,56,Fitzroy,19,100,"1995-04-08 14:10:00",17,18,125,Carlton,3,22394,0,0,"1995-04-08 13:10:00",2,"Round 2",,+11:00,797310600,"2022-11-10 21:19:19","Princes Park",Carlton,3,1995
