abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
18,19,132,Carlton,3,100,"1980-03-29 14:10:00",16,13,94,Collingwood,4,24678,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Victoria Park",Carlton,3,1980
10,15,100,"North Melbourne",12,100,"1980-03-29 14:10:00",15,12,87,Essendon,5,24679,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Windy Hill","North Melbourne",12,1980
10,13,88,Sydney,16,100,"1980-03-29 14:10:00",13,12,85,Geelong,7,24681,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Kardinia Park",Sydney,16,1980
15,16,111,Richmond,14,100,"1980-03-29 14:10:00",16,15,106,Hawthorn,10,24682,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Princes Park",Richmond,14,1980
14,18,122,Melbourne,11,100,"1980-03-29 14:10:00",16,14,100,"St Kilda",15,24683,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Waverley Park",Melbourne,11,1980
17,18,125,Fitzroy,19,100,"1980-03-29 14:10:00",11,17,113,"Western Bulldogs",18,24680,0,0,"1980-03-29 13:10:00",1,"Round 1",,+11:00,323147400,"2022-11-17 09:54:10","Western Oval",Fitzroy,19,1980
19,7,61,Collingwood,4,100,"1980-04-05 14:10:00",14,7,56,"North Melbourne",12,24684,0,0,"1980-04-05 13:10:00",2,"Round 2",,+11:00,323752200,"2022-11-17 09:54:10","Arden St",Collingwood,4,1980
22,17,124,Essendon,5,100,"1980-04-05 14:10:00",15,17,117,Richmond,14,24685,0,0,"1980-04-05 13:10:00",2,"Round 2",,+11:00,323752200,"2022-11-17 09:54:10",M.C.G.,Essendon,5,1980
26,15,116,Hawthorn,10,100,"1980-04-05 14:10:00",17,11,83,"St Kilda",15,24686,0,0,"1980-04-05 13:10:00",2,"Round 2",,+11:00,323752200,"2022-11-17 09:54:10","Moorabbin Oval",Hawthorn,10,1980
14,15,104,Geelong,7,100,"1980-04-07 14:10:00",25,14,109,Carlton,3,24687,0,0,"1980-04-07 13:10:00",2,"Round 2",,+11:00,323925000,"2022-11-17 09:54:10","Princes Park",Carlton,3,1980
13,10,73,"Western Bulldogs",18,100,"1980-04-07 14:10:00",17,14,101,Sydney,16,24689,0,0,"1980-04-07 13:10:00",2,"Round 2",,+11:00,323925000,"2022-11-17 09:54:10","Lake Oval",Sydney,16,1980
8,22,140,Melbourne,11,100,"1980-04-07 14:10:00",14,17,116,Fitzroy,19,24688,0,0,"1980-04-07 13:10:00",2,"Round 2",,+11:00,323925000,"2022-11-17 09:54:10","Waverley Park",Melbourne,11,1980
9,14,93,Melbourne,11,100,"1980-04-12 14:10:00",17,17,119,Geelong,7,24734,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10","Kardinia Park",Geelong,7,1980
23,16,119,Collingwood,4,100,"1980-04-12 14:10:00",16,19,130,Hawthorn,10,24731,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10","Princes Park",Hawthorn,10,1980
14,19,128,"St Kilda",15,100,"1980-04-12 14:10:00",20,18,128,Richmond,14,24735,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10",M.C.G.,,,1980
12,24,156,Essendon,5,100,"1980-04-12 14:10:00",17,14,101,Sydney,16,24732,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10","Waverley Park",Essendon,5,1980
17,17,119,Carlton,3,100,"1980-04-12 14:10:00",10,14,94,"Western Bulldogs",18,24730,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10","Western Oval",Carlton,3,1980
22,21,148,"North Melbourne",12,100,"1980-04-12 14:10:00",18,14,102,Fitzroy,19,24733,0,0,"1980-04-12 13:10:00",3,"Round 3",,+11:00,324357000,"2022-11-17 09:54:10","Junction Oval","North Melbourne",12,1980
15,13,93,Sydney,16,100,"1980-04-19 14:10:00",18,22,150,Carlton,3,24736,0,0,"1980-04-19 13:10:00",4,"Round 4",,+11:00,324961800,"2022-11-17 09:54:10","Princes Park",Carlton,3,1980
13,16,109,Richmond,14,100,"1980-04-19 14:10:00",9,8,57,Collingwood,4,24737,0,0,"1980-04-19 13:10:00",4,"Round 4",,+11:00,324961800,"2022-11-17 09:54:10","Victoria Park",Richmond,14,1980
