abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
15,13,93,"St Kilda",15,100,"2005-03-24 19:40:00",8,18,116,"Brisbane Lions",2,9786,0,0,"2005-03-24 18:40:00",1,"Round 1","Full Time",+11:00,1111653600,"2022-01-25 11:07:17",Gabba,"Brisbane Lions",2,2005
13,12,85,Carlton,3,100,"2005-03-26 14:15:00",9,16,105,"North Melbourne",12,9787,0,0,"2005-03-26 14:15:00",1,"Round 1","Full Time",+11:00,1111806900,"2022-01-25 11:07:17",Docklands,"North Melbourne",12,2005
9,8,57,Essendon,5,100,"2005-03-26 19:20:00",13,15,103,Melbourne,11,9788,0,0,"2005-03-26 19:20:00",1,"Round 1","Full Time",+11:00,1111825200,"2022-01-25 11:07:17",M.C.G.,Melbourne,11,2005
11,7,53,"Port Adelaide",13,100,"2005-03-26 19:40:00",10,13,88,Fremantle,6,9789,0,0,"2005-03-26 16:40:00",1,"Round 1","Full Time",+11:00,1111826400,"2022-01-25 11:07:17",Subiaco,Fremantle,6,2005
7,8,55,Hawthorn,10,100,"2005-03-27 13:15:00",10,18,118,Sydney,16,9790,0,0,"2005-03-27 13:15:00",1,"Round 1","Full Time",+10:00,1111893300,"2022-01-25 11:07:17",S.C.G.,Sydney,16,2005
10,25,160,Geelong,7,100,"2005-03-27 14:15:00",8,15,98,Richmond,14,9791,0,0,"2005-03-27 14:15:00",1,"Round 1","Full Time",+10:00,1111896900,"2022-01-25 11:07:17",M.C.G.,Geelong,7,2005
10,9,64,"West Coast",17,100,"2005-03-27 14:45:00",11,7,53,Adelaide,1,9792,0,0,"2005-03-27 14:15:00",1,"Round 1","Full Time",+10:00,1111898700,"2022-01-25 11:07:17","Football Park","West Coast",17,2005
16,16,112,"Western Bulldogs",18,100,"2005-03-28 14:15:00",14,11,80,Collingwood,4,9793,0,0,"2005-03-28 14:15:00",1,"Round 1","Full Time",+10:00,1111983300,"2022-01-25 11:07:17",M.C.G.,"Western Bulldogs",18,2005
4,17,106,Essendon,5,100,"2005-04-01 19:40:00",14,16,110,Carlton,3,9794,0,0,"2005-04-01 19:40:00",2,"Round 2","Full Time",+10:00,1112348400,"2022-01-25 11:07:17",M.C.G.,Carlton,3,2005
17,7,59,Sydney,16,100,"2005-04-02 14:10:00",10,12,82,"North Melbourne",12,9796,0,0,"2005-04-02 14:10:00",2,"Round 2","Full Time",+10:00,1112415000,"2022-01-25 11:07:17","Manuka Oval","North Melbourne",12,2005
17,20,137,Melbourne,11,100,"2005-04-02 14:10:00",21,15,111,"Western Bulldogs",18,9795,0,0,"2005-04-02 14:10:00",2,"Round 2","Full Time",+10:00,1112415000,"2022-01-25 11:07:17",Docklands,Melbourne,11,2005
14,8,62,Geelong,7,100,"2005-04-02 17:40:00",12,12,84,"West Coast",17,9797,0,0,"2005-04-02 15:40:00",2,"Round 2","Full Time",+10:00,1112427600,"2022-01-25 11:07:17",Subiaco,"West Coast",17,2005
7,11,73,"Brisbane Lions",2,100,"2005-04-02 19:10:00",9,11,75,"Port Adelaide",13,9798,0,0,"2005-04-02 18:40:00",2,"Round 2","Full Time",+10:00,1112433000,"2022-01-25 11:07:17","Football Park","Port Adelaide",13,2005
10,8,58,Fremantle,6,100,"2005-04-03 13:10:00",11,8,59,"St Kilda",15,9799,0,0,"2005-04-03 13:10:00",2,"Round 2","Full Time",+10:00,1112497800,"2022-01-25 11:07:17","York Park","St Kilda",15,2005
9,12,81,Adelaide,1,100,"2005-04-03 14:10:00",15,10,75,Collingwood,4,9800,0,0,"2005-04-03 14:10:00",2,"Round 2","Full Time",+10:00,1112501400,"2022-01-25 11:07:17",Docklands,Adelaide,1,2005
7,16,103,Richmond,14,100,"2005-04-03 14:10:00",17,12,89,Hawthorn,10,9801,0,0,"2005-04-03 14:10:00",2,"Round 2","Full Time",+10:00,1112501400,"2022-01-25 11:07:17",M.C.G.,Richmond,14,2005
18,8,66,Geelong,7,100,"2005-04-08 19:40:00",6,18,114,Melbourne,11,9802,0,0,"2005-04-08 19:40:00",3,"Round 3","Full Time",+10:00,1112953200,"2022-01-25 11:07:17",M.C.G.,Melbourne,11,2005
8,20,128,Collingwood,4,100,"2005-04-09 14:10:00",12,16,108,Carlton,3,9803,0,0,"2005-04-09 14:10:00",3,"Round 3","Full Time",+10:00,1113019800,"2022-01-25 11:07:17",M.C.G.,Collingwood,4,2005
10,15,100,"North Melbourne",12,100,"2005-04-09 14:10:00",9,14,93,"St Kilda",15,9804,0,0,"2005-04-09 14:10:00",3,"Round 3","Full Time",+10:00,1113019800,"2022-01-25 11:07:17",Docklands,"North Melbourne",12,2005
16,12,88,"West Coast",17,100,"2005-04-09 17:40:00",8,12,80,Fremantle,6,9806,0,0,"2005-04-09 15:40:00",3,"Round 3","Full Time",+10:00,1113032400,"2022-01-25 11:07:17",Subiaco,"West Coast",17,2005
9,13,87,Sydney,16,100,"2005-04-09 19:10:00",15,11,81,"Brisbane Lions",2,9805,0,0,"2005-04-09 19:10:00",3,"Round 3","Full Time",+10:00,1113037800,"2022-01-25 11:07:17",Gabba,Sydney,16,2005
8,8,56,"Port Adelaide",13,100,"2005-04-10 12:40:00",16,18,124,Adelaide,1,9807,0,0,"2005-04-10 12:10:00",3,"Round 3","Full Time",+10:00,1113100800,"2022-01-25 11:07:17","Football Park",Adelaide,1,2005
9,11,75,Hawthorn,10,100,"2005-04-10 14:10:00",17,10,77,Essendon,5,9808,0,0,"2005-04-10 14:10:00",3,"Round 3","Full Time",+10:00,1113106200,"2022-01-25 11:07:17",M.C.G.,Essendon,5,2005
16,12,88,Richmond,14,100,"2005-04-10 14:10:00",18,11,84,"Western Bulldogs",18,9809,0,0,"2005-04-10 14:10:00",3,"Round 3","Full Time",+10:00,1113106200,"2022-01-25 11:07:17",Docklands,Richmond,14,2005
12,13,90,Collingwood,4,100,"2005-04-15 19:40:00",9,14,93,"North Melbourne",12,9810,0,0,"2005-04-15 19:40:00",4,"Round 4","Full Time",+10:00,1113558000,"2022-01-25 11:07:17",M.C.G.,"North Melbourne",12,2005
9,10,69,"Brisbane Lions",2,100,"2005-04-16 14:10:00",7,18,115,Hawthorn,10,9811,0,0,"2005-04-16 14:10:00",4,"Round 4","Full Time",+10:00,1113624600,"2022-01-25 11:07:17",M.C.G.,Hawthorn,10,2005
5,17,107,"Western Bulldogs",18,100,"2005-04-16 14:10:00",17,21,143,"West Coast",17,9812,0,0,"2005-04-16 12:10:00",4,"Round 4","Full Time",+10:00,1113624600,"2022-01-25 11:07:17",Subiaco,"West Coast",17,2005
9,11,75,Essendon,5,100,"2005-04-16 19:10:00",17,19,131,Geelong,7,9813,0,0,"2005-04-16 19:10:00",4,"Round 4","Full Time",+10:00,1113642600,"2022-01-25 11:07:17",Docklands,Geelong,7,2005
13,16,109,Carlton,3,100,"2005-04-16 19:10:00",19,15,109,"Port Adelaide",13,9814,0,0,"2005-04-16 18:40:00",4,"Round 4","Full Time",+10:00,1113642600,"2022-01-25 11:07:17","Football Park",,,2005
12,18,120,Adelaide,1,100,"2005-04-17 13:10:00",13,11,79,Sydney,16,9815,0,0,"2005-04-17 13:10:00",4,"Round 4","Full Time",+10:00,1113707400,"2022-01-25 11:07:17",S.C.G.,Adelaide,1,2005
10,7,52,Fremantle,6,100,"2005-04-17 14:10:00",16,14,100,Richmond,14,9816,0,0,"2005-04-17 14:10:00",4,"Round 4","Full Time",+10:00,1113711000,"2022-01-25 11:07:17",M.C.G.,Richmond,14,2005
14,15,104,Melbourne,11,100,"2005-04-17 14:10:00",13,23,151,"St Kilda",15,9817,0,0,"2005-04-17 14:10:00",4,"Round 4","Full Time",+10:00,1113711000,"2022-01-25 11:07:17",Docklands,"St Kilda",15,2005
9,15,99,Geelong,7,100,"2005-04-22 20:10:00",5,15,95,"Port Adelaide",13,9818,0,0,"2005-04-22 19:40:00",5,"Round 5","Full Time",+10:00,1114164600,"2022-01-25 11:07:17","Football Park",Geelong,7,2005
18,11,84,Carlton,3,100,"2005-04-23 14:10:00",13,15,103,Fremantle,6,9820,0,0,"2005-04-23 12:10:00",5,"Round 5","Full Time",+10:00,1114229400,"2022-01-25 11:07:17",Subiaco,Fremantle,6,2005
11,13,89,Hawthorn,10,100,"2005-04-23 14:10:00",12,16,108,"North Melbourne",12,9819,0,0,"2005-04-23 14:10:00",5,"Round 5","Full Time",+10:00,1114229400,"2022-01-25 11:07:17",M.C.G.,"North Melbourne",12,2005
10,14,94,Melbourne,11,100,"2005-04-23 19:10:00",18,7,60,Sydney,16,9822,0,0,"2005-04-23 19:10:00",5,"Round 5","Full Time",+10:00,1114247400,"2022-01-25 11:07:17",S.C.G.,Melbourne,11,2005
13,16,109,Adelaide,1,100,"2005-04-23 19:10:00",14,21,140,"Western Bulldogs",18,9821,0,0,"2005-04-23 19:10:00",5,"Round 5","Full Time",+10:00,1114247400,"2022-01-25 11:07:17",Docklands,"Western Bulldogs",18,2005
19,23,157,"West Coast",17,100,"2005-04-24 13:10:00",12,12,84,"Brisbane Lions",2,9823,0,0,"2005-04-24 13:10:00",5,"Round 5","Full Time",+10:00,1114312200,"2022-01-25 11:07:17",Gabba,"West Coast",17,2005
13,11,79,Richmond,14,100,"2005-04-24 17:10:00",15,22,147,"St Kilda",15,9824,0,0,"2005-04-24 17:10:00",5,"Round 5","Full Time",+10:00,1114326600,"2022-01-25 11:07:17",Docklands,"St Kilda",15,2005
9,10,69,Collingwood,4,100,"2005-04-25 14:10:00",17,11,83,Essendon,5,9825,0,0,"2005-04-25 14:10:00",5,"Round 5","Full Time",+10:00,1114402200,"2022-01-25 11:07:17",M.C.G.,Essendon,5,2005
11,12,83,Hawthorn,10,100,"2005-04-29 19:40:00",11,13,89,Carlton,3,9826,0,0,"2005-04-29 19:40:00",6,"Round 6","Full Time",+10:00,1114767600,"2022-01-25 11:07:17",Docklands,Carlton,3,2005
4,10,64,"North Melbourne",12,100,"2005-04-30 14:10:00",14,10,74,Adelaide,1,9828,0,0,"2005-04-30 13:40:00",6,"Round 6","Full Time",+10:00,1114834200,"2022-01-25 11:07:17","Football Park",Adelaide,1,2005
11,22,143,Fremantle,6,100,"2005-04-30 14:10:00",9,20,129,Melbourne,11,9827,0,0,"2005-04-30 14:10:00",6,"Round 6","Full Time",+10:00,1114834200,"2022-01-25 11:07:17",M.C.G.,Fremantle,6,2005
11,8,59,Sydney,16,100,"2005-04-30 17:40:00",14,15,104,"West Coast",17,9830,0,0,"2005-04-30 15:40:00",6,"Round 6","Full Time",+10:00,1114846800,"2022-01-25 11:07:17",Subiaco,"West Coast",17,2005
10,21,136,"Brisbane Lions",2,100,"2005-04-30 19:10:00",16,12,88,Essendon,5,9829,0,0,"2005-04-30 19:10:00",6,"Round 6","Full Time",+10:00,1114852200,"2022-01-25 11:07:17",Docklands,"Brisbane Lions",2,2005
7,11,73,"Western Bulldogs",18,100,"2005-05-01 13:10:00",12,16,108,Geelong,7,9831,0,0,"2005-05-01 13:10:00",6,"Round 6","Full Time",+10:00,1114917000,"2022-01-25 11:07:17","Kardinia Park",Geelong,7,2005
13,16,109,"St Kilda",15,100,"2005-05-01 14:10:00",11,10,71,Collingwood,4,9832,0,0,"2005-05-01 14:10:00",6,"Round 6","Full Time",+10:00,1114920600,"2022-01-25 11:07:17",M.C.G.,"St Kilda",15,2005
