abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
10,8,58,Carlton,3,100,"2023-03-16 19:20:00",10,8,58,Richmond,14,34260,0,0,"2023-03-16 19:20:00",1,"Round 1","Full Time",+11:00,1678954800,"2023-03-16 23:02:04",M.C.G.,,,2023
11,19,125,Collingwood,4,100,"2023-03-17 19:40:00",7,16,103,Geelong,7,34261,0,0,"2023-03-17 19:40:00",1,"Round 1","Full Time",+11:00,1679042400,"2023-03-17 22:37:21",M.C.G.,Collingwood,4,2023
10,12,82,"West Coast",17,100,"2023-03-18 13:45:00",15,12,87,"North Melbourne",12,34262,0,0,"2023-03-18 13:45:00",1,"Round 1","Full Time",+11:00,1679107500,"2023-03-18 16:26:17",Docklands,"North Melbourne",12,2023
6,11,72,"Brisbane Lions",2,100,"2023-03-18 16:35:00",18,18,126,"Port Adelaide",13,34263,0,0,"2023-03-18 16:05:00",1,"Round 1","Full Time",+11:00,1679117700,"2023-03-18 19:21:14","Adelaide Oval","Port Adelaide",13,2023
11,9,65,"Western Bulldogs",18,100,"2023-03-18 19:25:00",13,17,115,Melbourne,11,34264,0,0,"2023-03-18 19:25:00",1,"Round 1","Full Time",+11:00,1679127900,"2023-03-18 22:03:09",M.C.G.,Melbourne,11,2023
14,16,110,Sydney,16,100,"2023-03-18 20:00:00",7,9,61,"Gold Coast",8,34265,0,0,"2023-03-18 19:00:00",1,"Round 1","Full Time",+11:00,1679130000,"2023-03-18 22:41:51",Carrara,Sydney,16,2023
18,12,90,Adelaide,1,100,"2023-03-19 13:10:00",16,15,106,"Greater Western Sydney",9,34266,0,0,"2023-03-19 13:10:00",1,"Round 1","Full Time",+11:00,1679191800,"2023-03-19 16:01:03","Sydney Showground","Greater Western Sydney",9,2023
10,19,124,Essendon,5,100,"2023-03-19 15:20:00",11,9,65,Hawthorn,10,34267,0,0,"2023-03-19 15:20:00",1,"Round 1","Full Time",+11:00,1679199600,"2023-03-19 17:55:08",M.C.G.,Essendon,5,2023
10,7,52,Fremantle,6,100,"2023-03-19 16:40:00",7,10,67,"St Kilda",15,34268,0,0,"2023-03-19 16:40:00",1,"Round 1","Full Time",+11:00,1679204400,"2023-03-19 19:11:56",Docklands,"St Kilda",15,2023
10,12,82,Geelong,7,100,"2023-03-23 19:20:00",12,13,90,Carlton,3,34269,0,0,"2023-03-23 19:20:00",2,"Round 2","Full Time",+11:00,1679559600,"2023-03-23 21:56:35",M.C.G.,Carlton,3,2023
4,13,82,Melbourne,11,100,"2023-03-24 19:55:00",9,14,93,"Brisbane Lions",2,34270,0,0,"2023-03-24 18:55:00",2,"Round 2","Full Time",+11:00,1679648100,"2023-03-24 23:17:56",Gabba,"Brisbane Lions",2,2023
10,9,64,"Port Adelaide",13,100,"2023-03-25 13:45:00",9,21,135,Collingwood,4,34271,0,0,"2023-03-25 13:45:00",2,"Round 2","Full Time",+11:00,1679712300,"2023-03-25 16:20:51",M.C.G.,Collingwood,4,2023
6,17,108,Richmond,14,100,"2023-03-25 16:35:00",16,10,76,Adelaide,1,34272,0,0,"2023-03-25 16:05:00",2,"Round 2","Full Time",+11:00,1679722500,"2023-03-25 19:17:38","Adelaide Oval",Richmond,14,2023
8,14,92,"St Kilda",15,100,"2023-03-25 19:25:00",11,5,41,"Western Bulldogs",18,34273,0,0,"2023-03-25 19:25:00",2,"Round 2","Full Time",+11:00,1679732700,"2023-03-25 21:55:48",Docklands,"St Kilda",15,2023
7,11,73,"North Melbourne",12,100,"2023-03-25 19:30:00",12,10,72,Fremantle,6,34274,0,0,"2023-03-25 16:30:00",2,"Round 2","Full Time",+11:00,1679733000,"2023-03-25 22:08:54","Perth Stadium","North Melbourne",12,2023
13,4,37,Hawthorn,10,100,"2023-03-26 13:10:00",16,17,118,Sydney,16,34275,0,0,"2023-03-26 13:10:00",2,"Round 2","Full Time",+11:00,1679796600,"2023-03-26 15:41:25",S.C.G.,Sydney,16,2023
14,11,80,"Gold Coast",8,100,"2023-03-26 15:20:00",12,16,108,Essendon,5,34276,0,0,"2023-03-26 15:20:00",2,"Round 2","Full Time",+11:00,1679804400,"2023-03-26 18:00:00",Docklands,Essendon,5,2023
15,11,81,"Greater Western Sydney",9,100,"2023-03-26 18:20:00",16,14,100,"West Coast",17,34277,0,0,"2023-03-26 15:20:00",2,"Round 2","Full Time",+11:00,1679815200,"2023-03-26 21:00:14","Perth Stadium","West Coast",17,2023
11,7,53,"Brisbane Lions",2,100,"2023-03-30 19:20:00",7,10,67,"Western Bulldogs",18,34278,0,0,"2023-03-30 19:20:00",3,"Round 3","Full Time",+11:00,1680164400,"2023-03-30 21:52:17",Docklands,"Western Bulldogs",18,2023
7,7,49,Richmond,14,100,"2023-03-31 19:50:00",15,8,63,Collingwood,4,34279,0,0,"2023-03-31 19:50:00",3,"Round 3","Full Time",+11:00,1680252600,"2023-03-31 22:26:24",M.C.G.,Collingwood,4,2023
7,9,61,"North Melbourne",12,100,"2023-04-01 13:45:00",14,11,80,Hawthorn,10,34280,0,0,"2023-04-01 13:45:00",3,"Round 3","Full Time",+11:00,1680317100,"2023-04-01 16:12:29","York Park",Hawthorn,10,2023
20,9,74,Carlton,3,100,"2023-04-01 16:35:00",10,9,64,"Greater Western Sydney",9,34281,0,0,"2023-04-01 16:35:00",3,"Round 3","Full Time",+11:00,1680327300,"2023-04-01 19:11:43","Sydney Showground",Carlton,3,2023
8,11,74,Essendon,5,100,"2023-04-01 19:25:00",8,14,92,"St Kilda",15,34282,0,0,"2023-04-01 19:25:00",3,"Round 3","Full Time",+11:00,1680337500,"2023-04-01 22:04:05",M.C.G.,"St Kilda",15,2023
9,18,117,Adelaide,1,100,"2023-04-01 19:30:00",8,13,86,"Port Adelaide",13,34283,0,0,"2023-04-01 19:00:00",3,"Round 3","Full Time",+11:00,1680337800,"2023-04-01 22:17:21","Adelaide Oval",Adelaide,1,2023
