abehinds,agoals,ascore,ateam,ateamid,complete,date,hbehinds,hgoals,hscore,hteam,hteamid,id,is_final,is_grand_final,localtime,round,roundname,timestr,tz,unixtime,updated,venue,winner,winnerteamid,year
19,19,133,Essendon,5,100,"1986-03-29 14:10:00",8,10,68,Collingwood,4,23886,0,0,"1986-03-29 13:10:00",1,"Round 1",,+11:00,512449800,"2022-11-17 09:53:54","Victoria Park",Essendon,5,1986
16,16,112,Fitzroy,19,100,"1986-03-29 14:10:00",18,11,84,Geelong,7,23887,0,0,"1986-03-29 13:10:00",1,"Round 1",,+11:00,512449800,"2022-11-17 09:53:54","Kardinia Park",Fitzroy,19,1986
18,20,138,Melbourne,11,100,"1986-03-29 14:10:00",14,19,128,Richmond,14,23888,0,0,"1986-03-29 13:10:00",1,"Round 1",,+11:00,512449800,"2022-11-17 09:53:54",M.C.G.,Melbourne,11,1986
11,11,77,Carlton,3,100,"1986-03-31 14:10:00",11,17,113,Hawthorn,10,23889,0,0,"1986-03-31 13:10:00",1,"Round 1",,+11:00,512622600,"2022-11-17 09:53:54","Waverley Park",Hawthorn,10,1986
6,20,126,Sydney,16,100,"1986-03-31 14:10:00",11,15,101,"North Melbourne",12,23891,0,0,"1986-03-31 13:10:00",1,"Round 1",,+11:00,512622600,"2022-11-17 09:53:54",M.C.G.,Sydney,16,1986
18,12,90,"St Kilda",15,100,"1986-03-31 14:10:00",23,14,107,"Western Bulldogs",18,23890,0,0,"1986-03-31 13:10:00",1,"Round 1",,+11:00,512622600,"2022-11-17 09:53:54","Western Oval","Western Bulldogs",18,1986
9,17,111,Hawthorn,10,100,"1986-04-04 19:40:00",12,16,108,"North Melbourne",12,23904,0,0,"1986-04-04 18:40:00",2,"Round 2",,+11:00,512988000,"2022-11-17 09:53:54",M.C.G.,Hawthorn,10,1986
5,15,95,Richmond,14,100,"1986-04-05 14:10:00",17,18,125,Carlton,3,23905,0,0,"1986-04-05 13:10:00",2,"Round 2",,+11:00,513054600,"2022-11-17 09:53:54","Princes Park",Carlton,3,1986
9,7,51,Geelong,7,100,"1986-04-05 14:10:00",22,21,148,Essendon,5,23906,0,0,"1986-04-05 13:10:00",2,"Round 2",,+11:00,513054600,"2022-11-17 09:53:54","Windy Hill",Essendon,5,1986
12,16,108,"St Kilda",15,100,"1986-04-05 14:10:00",10,21,136,Melbourne,11,23908,0,0,"1986-04-05 13:10:00",2,"Round 2",,+11:00,513054600,"2022-11-17 09:53:54",M.C.G.,Melbourne,11,1986
9,10,69,"Western Bulldogs",18,100,"1986-04-05 14:10:00",19,10,79,Fitzroy,19,23907,0,0,"1986-04-05 13:10:00",2,"Round 2",,+11:00,513054600,"2022-11-17 09:53:54","Waverley Park",Fitzroy,19,1986
10,15,100,Collingwood,4,100,"1986-04-06 14:10:00",20,19,134,Sydney,16,23909,0,0,"1986-04-06 13:10:00",2,"Round 2",,+11:00,513141000,"2022-11-17 09:53:54",S.C.G.,Sydney,16,1986
18,19,132,Sydney,16,100,"1986-04-12 14:10:00",15,15,105,Geelong,7,23846,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54","Kardinia Park",Sydney,16,1986
9,15,99,Richmond,14,100,"1986-04-12 14:10:00",22,22,154,Hawthorn,10,23847,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54","Princes Park",Hawthorn,10,1986
15,9,69,Collingwood,4,100,"1986-04-12 14:10:00",10,17,112,"North Melbourne",12,23843,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54",M.C.G.,"North Melbourne",12,1986
13,24,157,Carlton,3,100,"1986-04-12 14:10:00",9,10,69,"St Kilda",15,23842,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54","Moorabbin Oval",Carlton,3,1986
11,13,89,Essendon,5,100,"1986-04-12 14:10:00",15,11,81,"Western Bulldogs",18,23844,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54","Waverley Park",Essendon,5,1986
10,13,88,Melbourne,11,100,"1986-04-12 14:10:00",20,14,104,Fitzroy,19,23845,0,0,"1986-04-12 13:10:00",3,"Round 3",,+11:00,513659400,"2022-11-17 09:53:54","Victoria Park",Fitzroy,19,1986
15,10,75,Fitzroy,19,100,"1986-04-19 14:10:00",24,22,156,Carlton,3,23848,0,0,"1986-04-19 13:10:00",4,"Round 4",,+11:00,514264200,"2022-11-17 09:53:54","Princes Park",Carlton,3,1986
13,13,91,Geelong,7,100,"1986-04-19 14:10:00",16,20,136,Collingwood,4,23849,0,0,"1986-04-19 13:10:00",4,"Round 4",,+11:00,514264200,"2022-11-17 09:53:54","Victoria Park",Collingwood,4,1986
6,17,108,Melbourne,11,100,"1986-04-19 14:10:00",8,27,170,Essendon,5,23850,0,0,"1986-04-19 13:10:00",4,"Round 4",,+11:00,514264200,"2022-11-17 09:53:54","Windy Hill",Essendon,5,1986
12,14,96,"North Melbourne",12,100,"1986-04-19 14:10:00",11,17,113,Richmond,14,23852,0,0,"1986-04-19 13:10:00",4,"Round 4",,+11:00,514264200,"2022-11-17 09:53:54","Waverley Park",Richmond,14,1986
