against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1904,278,274,0,2296,271,337,12,6,"North Melbourne",120.588235294118,21,60,1,15
2011,253,344,0,2378,293,339,10,6,Hawthorn,118.249627051218,21,60,2,15
1888,310,301,0,2263,263,327,3,7,Carlton,119.862288135593,21,56,3,14
1947,285,331,0,2191,277,310,4,7,Collingwood,112.532100667694,21,56,4,14
2066,296,283,0,2053,295,295,7,10,Geelong,99.3707647628267,21,44,5,11
2437,307,298,1,2224,355,321,15,10,"St Kilda",91.2597455888387,21,42,6,10
2308,298,315,1,2325,335,335,14,11,Richmond,100.736568457539,21,38,7,9
2272,292,293,0,2303,330,335,16,12,Sydney,101.364436619718,21,36,8,9
2239,307,294,0,2220,322,321,19,13,Fitzroy,99.1514068780706,21,32,9,8
2219,305,300,0,2094,319,299,5,13,Essendon,94.3668319062641,21,32,10,8
2374,280,259,0,2191,349,322,18,14,"Western Bulldogs",92.2914911541702,21,28,11,7
2773,367,286,0,1900,401,269,11,16,Melbourne,68.5178507032095,21,20,12,5
