against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2291,293,391,0,2737,333,391,10,6,Hawthorn,119.467481449149,24,64,18
2162,320,314,0,2576,307,377,12,7,"North Melbourne",119.148936170213,24,64,17
2415,339,387,0,2637,346,375,4,9,Collingwood,109.192546583851,25,60,16
2174,356,343,0,2527,303,364,3,9,Carlton,116.23735050598,24,56,15
2209,319,323,0,2225,315,317,7,11,Geelong,100.724309642372,23,48,12
2503,319,308,1,2330,364,337,15,10,"St Kilda",93.0882940471434,22,46,11
2389,313,335,1,2459,346,354,14,11,Richmond,102.930096274592,22,42,10
2383,307,308,0,2390,346,347,16,13,Sydney,100.293747377256,22,36,9
2339,329,302,0,2258,335,326,19,14,Fitzroy,96.5369816160753,22,32,8
2337,321,313,0,2203,336,315,5,14,Essendon,94.2661531878477,22,32,8
2508,300,274,0,2272,368,333,18,15,"Western Bulldogs",90.5901116427432,22,28,7
2929,379,297,0,2025,425,288,11,17,Melbourne,69.1362239672243,22,20,5
