against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
761,119,124,0,1012,107,148,4,1,Collingwood,132.982917214192,11,40,1,10
884,98,148,0,988,131,140,13,2,"Port Adelaide",111.764705882353,11,36,2,9
867,105,133,0,1081,127,158,2,3,"Brisbane Lions",124.682814302191,11,32,3,8
829,109,108,0,1110,120,167,11,4,Melbourne,133.896260554885,11,28,4,7
763,115,109,0,889,108,130,15,4,"St Kilda",116.51376146789,11,28,5,7
802,112,131,0,857,115,121,18,4,"Western Bulldogs",106.857855361596,11,28,6,7
899,131,125,0,977,128,142,1,5,Adelaide,108.676307007786,11,24,7,6
906,132,126,0,978,129,142,5,5,Essendon,107.94701986755,11,24,8,6
924,114,105,0,945,135,140,6,5,Fremantle,102.272727272727,11,24,9,6
924,102,125,0,1091,137,161,7,6,Geelong,118.073593073593,11,20,10,5
934,106,123,0,945,138,137,16,6,Sydney,101.177730192719,11,20,11,5
904,124,117,0,879,130,127,8,6,"Gold Coast",97.2345132743363,11,20,12,5
873,117,136,1,844,126,118,3,6,Carlton,96.6781214203895,11,18,13,4
1013,155,122,0,884,143,127,9,7,"Greater Western Sydney",87.2655478775913,11,16,14,4
860,134,114,1,846,121,122,14,7,Richmond,98.3720930232558,11,14,15,3
1004,116,116,0,770,148,109,10,8,Hawthorn,76.6932270916335,11,12,16,3
1126,136,102,0,744,165,107,12,9,"North Melbourne",66.0746003552398,11,8,17,2
1254,144,105,0,687,185,97,17,10,"West Coast",54.7846889952153,11,4,18,1
