against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1532,230,225,0,1941,217,286,4,4,Collingwood,126.697127937337,21,68,1,17
1611,195,256,0,1984,236,288,2,6,"Brisbane Lions",123.153320918684,21,60,2,15
1785,201,265,0,1981,264,286,13,6,"Port Adelaide",110.980392156863,21,60,3,15
1544,200,229,0,1915,224,281,11,7,Melbourne,124.028497409326,21,56,4,14
1505,221,252,1,1758,214,251,3,8,Carlton,116.810631229236,21,50,5,12
1520,212,193,0,1627,218,239,15,9,"St Kilda",107.039473684211,21,48,6,12
1713,213,234,1,1920,250,281,16,9,Sydney,112.084063047285,21,46,7,11
1595,209,242,0,1730,231,248,18,10,"Western Bulldogs",108.46394984326,21,44,8,11
1787,233,217,0,1771,259,259,5,10,Essendon,99.1046446558478,21,44,9,11
1776,258,233,0,1751,253,253,9,10,"Greater Western Sydney",98.5923423423423,21,44,10,11
1663,223,232,1,1954,240,287,7,10,Geelong,117.498496692724,21,42,11,10
1725,231,245,0,1997,249,292,1,11,Adelaide,115.768115942029,21,40,12,10
1817,233,234,1,1692,264,243,14,11,Richmond,93.1205283434232,21,38,13,9
1768,208,190,0,1684,260,249,6,12,Fremantle,95.2488687782805,21,36,14,9
1783,217,227,0,1655,261,238,8,12,"Gold Coast",92.8210880538418,21,36,15,9
1921,217,214,0,1570,284,226,10,14,Hawthorn,81.7282665278501,21,28,16,7
2120,260,175,0,1453,310,213,12,19,"North Melbourne",68.5377358490566,21,8,17,2
2466,282,180,0,1248,364,178,17,19,"West Coast",50.6082725060827,21,8,18,2
