against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
639,99,108,0,948,90,140,11,1,Melbourne,148.356807511737,8,28,1,7
624,90,117,0,825,89,118,17,2,"West Coast",132.211538461538,8,24,2,6
681,105,118,0,892,96,129,5,3,Essendon,130.983847283407,8,20,3,5
731,113,120,0,870,103,125,15,3,"St Kilda",119.015047879617,8,20,4,5
755,119,120,0,882,106,127,10,3,Hawthorn,116.82119205298,8,20,5,5
719,119,101,0,779,100,113,4,3,Collingwood,108.344923504868,8,20,6,5
778,100,98,0,794,113,116,3,4,Carlton,102.056555269923,8,16,7,4
873,135,143,0,881,123,123,7,4,Geelong,100.916380297824,8,16,8,4
748,118,114,0,708,105,99,18,4,"Western Bulldogs",94.6524064171123,8,16,9,4
913,127,120,0,732,131,102,16,5,Sydney,80.1752464403067,8,12,10,3
870,120,129,0,867,125,123,12,6,"North Melbourne",99.6551724137931,8,8,11,2
891,117,91,0,625,129,89,2,6,"Brisbane Lions",70.1459034792368,8,8,12,2
887,119,117,0,609,128,82,19,6,Fitzroy,68.6583990980834,8,8,13,2
962,140,125,0,659,137,89,14,6,Richmond,68.5031185031185,8,8,14,2
