against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1583,281,267,1,2151,217,314,3,3,Carlton,135.881238155401,21,70,1,17
2016,330,301,0,2311,281,335,14,4,Richmond,114.632936507937,21,68,2,17
1630,256,270,1,2226,229,326,4,6,Collingwood,136.564417177914,21,58,3,14
1619,263,278,0,1868,226,265,15,8,"St Kilda",115.37986411365,21,52,4,13
1929,267,321,0,2175,277,309,10,8,Hawthorn,112.752721617418,21,52,5,13
2028,288,304,0,2200,290,316,5,8,Essendon,108.481262327416,21,52,6,13
1952,296,275,0,1847,276,262,18,10,"Western Bulldogs",94.6209016393443,21,44,7,11
1834,262,284,0,1916,262,272,11,12,Melbourne,104.471101417666,21,36,8,9
1935,267,294,0,1902,278,268,19,12,Fitzroy,98.2945736434109,21,36,9,9
2280,294,264,0,1854,331,265,7,15,Geelong,81.3157894736842,21,24,10,6
2165,263,267,0,1431,317,194,16,19,Sydney,66.0969976905312,21,8,11,2
2449,319,261,0,1539,355,213,12,20,"North Melbourne",62.841976316864,21,4,12,1
