against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
2073,261,361,0,2539,302,363,17,6,"West Coast",122.479498311626,25,68,19
1771,241,316,0,2482,255,361,1,7,Adelaide,140.146809712027,24,64,17
2170,328,291,0,2319,307,338,6,9,Fremantle,106.866359447005,25,60,16
1806,210,294,0,2310,266,336,16,8,Sydney,127.906976744186,24,56,16
1842,264,274,0,2146,263,312,15,9,"St Kilda",116.503800217155,23,56,14
2086,268,283,0,2425,303,357,4,9,Collingwood,116.251198465964,23,56,14
2131,295,282,1,2310,306,338,11,9,Melbourne,108.399812294697,24,54,14
2366,338,293,0,2471,338,363,18,10,"Western Bulldogs",104.437869822485,24,52,14
2245,307,266,0,1934,323,278,14,11,Richmond,86.1469933184855,22,44,11
2002,244,242,1,1982,293,290,7,11,Geelong,99.000999000999,22,42,10
2140,292,208,0,1834,308,271,10,13,Hawthorn,85.7009345794392,22,36,9
2151,297,285,0,1911,309,271,13,14,"Port Adelaide",88.8423988842399,22,32,8
2239,295,284,0,1844,324,260,2,15,"Brisbane Lions",82.358195623046,22,28,7
2167,265,260,0,1754,317,249,12,15,"North Melbourne",80.941393631749,22,28,7
2469,267,275,1,2021,367,291,5,18,Essendon,81.8550020251114,22,14,3
2415,291,249,1,1791,354,257,3,18,Carlton,74.1614906832298,22,14,3
