against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
491,59,80,0,722,72,107,1,1,Adelaide,147.046843177189,7,24,1,6
564,72,98,0,722,82,104,17,1,"West Coast",128.014184397163,7,24,2,6
617,89,79,0,811,88,122,4,2,Collingwood,131.442463533225,7,20,3,5
646,88,97,0,805,93,118,18,2,"Western Bulldogs",124.613003095975,7,20,4,5
602,62,87,0,723,90,106,16,3,Sydney,120.099667774086,7,16,5,4
614,80,78,0,624,89,91,10,3,Hawthorn,101.628664495114,7,16,6,4
649,97,86,0,650,92,94,11,3,Melbourne,100.154083204931,7,16,7,4
637,85,81,0,597,92,86,6,3,Fremantle,93.7205651491366,7,16,8,4
564,78,77,0,647,81,95,7,4,Geelong,114.716312056738,7,12,9,3
624,78,75,0,645,91,95,15,4,"St Kilda",103.365384615385,7,12,10,3
832,106,86,0,566,121,80,14,4,Richmond,68.0288461538462,7,12,11,3
662,86,84,0,582,96,83,3,5,Carlton,87.9154078549849,7,8,12,2
759,75,76,0,592,114,86,12,5,"North Melbourne",77.9973649538867,7,8,13,2
722,80,81,0,561,107,80,2,5,"Brisbane Lions",77.7008310249307,7,8,14,2
825,99,76,0,616,121,90,13,5,"Port Adelaide",74.6666666666667,7,8,15,2
698,92,85,0,643,101,93,5,6,Essendon,92.1203438395415,7,4,16,1
