against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
790,112,146,0,1298,113,192,1,2,Adelaide,164.303797468354,12,40,1,10
1027,127,166,0,1204,150,173,17,2,"West Coast",117.234664070107,12,40,2,10
1072,142,140,0,1394,155,209,4,3,Collingwood,130.037313432836,12,36,3,9
1178,158,148,0,1354,170,201,18,4,"Western Bulldogs",114.940577249576,12,32,4,8
1066,160,148,0,1216,151,178,11,4,Melbourne,114.071294559099,12,32,5,8
991,115,139,0,1195,146,176,16,5,Sydney,120.58526740666,12,28,6,7
991,133,141,0,1047,143,151,15,6,"St Kilda",105.650857719475,12,24,7,6
1234,160,151,0,1183,179,172,13,6,"Port Adelaide",95.8670988654781,12,24,8,6
1134,144,140,0,992,165,142,6,6,Fremantle,87.4779541446208,12,24,9,6
1260,168,142,0,1000,182,143,14,6,Richmond,79.3650793650794,12,24,10,6
1061,131,131,0,1127,155,166,7,7,Geelong,106.2205466541,12,20,11,5
1187,143,123,0,981,174,143,10,7,Hawthorn,82.6453243470935,12,20,12,5
1202,152,153,0,1095,175,157,2,8,"Brisbane Lions",91.0981697171381,12,16,13,4
1226,128,138,0,984,183,141,12,9,"North Melbourne",80.2610114192496,12,12,14,3
1262,164,135,0,963,183,138,3,10,Carlton,76.3074484944533,12,8,15,2
1369,151,147,0,1017,203,145,5,11,Essendon,74.2878013148283,12,4,16,1
