against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1197,159,212,0,1862,173,275,1,3,Adelaide,155.555555555556,17,56,1,14
1479,183,228,0,1704,216,246,17,4,"West Coast",115.212981744422,17,52,2,13
1454,212,214,0,1690,207,246,11,5,Melbourne,116.231086657497,17,48,3,12
1311,183,202,0,1606,188,234,15,6,"St Kilda",122.501906941266,17,44,4,11
1563,189,202,0,1846,229,274,4,6,Collingwood,118.106206014075,17,44,5,11
1320,162,217,0,1591,193,229,16,7,Sydney,120.530303030303,17,40,6,10
1625,227,210,0,1776,233,261,18,7,"Western Bulldogs",109.292307692308,17,40,7,10
1573,217,189,0,1497,226,218,6,7,Fremantle,95.1684678957406,17,40,8,10
1522,196,180,0,1542,221,227,7,9,Geelong,101.314060446781,17,32,9,8
1704,240,196,0,1360,244,194,14,9,Richmond,79.81220657277,17,32,10,8
1674,216,234,0,1548,243,219,2,10,"Brisbane Lions",92.4731182795699,17,28,11,7
1655,227,209,0,1487,238,213,13,11,"Port Adelaide",89.8489425981873,17,24,12,6
1666,184,206,0,1400,247,199,12,11,"North Melbourne",84.0336134453782,17,24,13,6
1732,220,155,0,1355,252,200,10,12,Hawthorn,78.2332563510393,17,20,14,5
1892,212,204,1,1530,280,221,5,14,Essendon,80.8668076109937,17,10,15,2
1797,231,200,1,1370,261,195,3,14,Carlton,76.2381747356706,17,10,16,2
