against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
978,126,141,0,1419,142,213,15,2,"St Kilda",145.092024539877,12,40,1,10
1051,133,168,0,1344,153,196,2,3,"Brisbane Lions",127.878211227402,12,36,2,9
1017,123,168,0,1260,149,182,11,3,Melbourne,123.893805309735,12,36,3,9
1143,165,153,0,1335,163,197,13,4,"Port Adelaide",116.797900262467,12,32,4,8
1266,144,144,0,1314,187,195,5,4,Essendon,103.791469194313,12,32,5,8
1055,119,131,0,1145,156,169,7,5,Geelong,108.530805687204,12,28,6,7
966,138,143,0,1037,138,149,6,5,Fremantle,107.349896480331,12,28,7,7
1052,122,137,0,1067,155,155,16,6,Sydney,101.425855513308,12,24,8,6
1155,129,140,0,1214,171,179,12,7,"North Melbourne",105.108225108225,12,20,9,5
1263,129,137,0,1133,189,166,17,7,"West Coast",89.7070467141726,12,20,10,5
1283,137,104,0,1046,191,157,3,7,Carlton,81.5276695245518,12,20,11,5
1273,175,160,0,1132,183,162,18,8,"Western Bulldogs",88.9238020424195,12,16,12,4
1146,150,138,0,954,166,136,4,8,Collingwood,83.2460732984293,12,16,13,4
1249,145,113,0,899,184,131,14,8,Richmond,71.9775820656525,12,16,14,4
1135,133,151,0,1075,167,154,1,9,Adelaide,94.7136563876652,12,12,15,3
1283,167,107,0,941,186,139,10,10,Hawthorn,73.3437256430242,12,8,16,2
