against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1039,133,154,0,1546,151,232,15,2,"St Kilda",148.796920115496,13,44,1,11
1086,132,185,0,1355,159,195,11,3,Melbourne,124.769797421731,13,40,2,10
1143,147,179,0,1409,166,205,2,4,"Brisbane Lions",123.272090988626,13,36,3,9
1245,171,163,0,1447,179,214,13,4,"Port Adelaide",116.224899598394,13,36,4,9
1120,130,145,0,1237,165,182,7,5,Geelong,110.446428571429,13,32,5,8
1361,161,153,0,1383,200,205,5,5,Essendon,101.616458486407,13,32,6,8
1078,148,149,0,1139,155,165,6,6,Fremantle,105.658627087199,13,28,7,7
1131,135,144,0,1152,166,168,16,6,Sydney,101.856763925729,13,28,8,7
1230,138,152,0,1322,182,195,12,7,"North Melbourne",107.479674796748,13,24,9,6
1376,146,120,0,1170,205,175,3,7,Carlton,85.0290697674419,13,24,10,6
1371,141,146,0,1208,205,177,17,8,"West Coast",88.110867979577,13,20,11,5
1236,144,164,0,1208,182,174,1,9,Adelaide,97.7346278317152,13,16,12,4
1406,188,171,0,1233,203,177,18,9,"Western Bulldogs",87.6955903271693,13,16,13,4
1231,157,151,0,1033,179,147,4,9,Collingwood,83.9155158407798,13,16,14,4
1373,161,122,0,992,202,145,14,9,Richmond,72.2505462490896,13,16,15,4
1410,180,114,0,1002,205,148,10,11,Hawthorn,71.063829787234,13,8,16,2
