against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1885,283,280,0,2530,267,375,13,5,"Port Adelaide",134.2175066313,23,68,18
1852,238,310,0,2596,269,381,2,6,"Brisbane Lions",140.172786177106,23,64,17
2058,222,232,0,2512,306,380,15,7,"St Kilda",122.060252672498,23,64,16
1858,226,302,0,2150,272,308,7,8,Geelong,115.715823466093,23,60,15
2004,252,306,0,2226,292,320,11,9,Melbourne,111.077844311377,23,56,14
1838,242,225,0,2013,266,298,16,9,Sydney,109.521218715996,23,52,14
2043,237,294,0,2076,301,297,17,10,"West Coast",101.615271659325,23,52,13
2327,269,268,0,2386,343,353,5,10,Essendon,102.535453373442,23,48,13
1870,268,232,0,1882,267,275,6,11,Fremantle,100.641711229947,22,44,11
2135,233,252,0,2142,317,315,12,12,"North Melbourne",100.327868852459,22,40,10
2235,267,217,0,1825,328,268,3,12,Carlton,81.65548098434,22,40,10
2039,245,270,0,1950,299,280,1,14,Adelaide,95.6351152525748,22,32,8
2082,270,273,0,1899,302,271,4,14,Collingwood,91.2103746397695,22,32,8
2459,305,277,0,1957,359,280,18,17,"Western Bulldogs",79.5851972346482,22,20,5
2375,317,192,0,1668,343,246,10,18,Hawthorn,70.2315789473684,22,16,4
2445,273,217,0,1693,362,246,14,18,Richmond,69.2433537832311,22,16,4
