against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1852,244,283,0,2317,268,339,13,5,"Port Adelaide",125.107991360691,23,72,18
1909,265,297,0,2325,274,338,4,7,Collingwood,121.791513881613,23,60,16
1948,268,294,1,2346,280,342,2,8,"Brisbane Lions",120.431211498973,23,58,14
1950,252,232,0,2242,283,335,16,8,Sydney,114.974358974359,23,56,15
2179,259,286,0,2200,320,319,6,9,Fremantle,100.963744837081,23,56,14
1811,233,271,0,2227,263,326,1,9,Adelaide,122.970734400883,23,52,14
2095,265,289,2,2383,305,349,17,9,"West Coast",113.747016706444,23,52,12
2017,253,269,0,2291,294,337,5,9,Essendon,113.5845314824,23,52,14
1999,235,235,0,2011,294,296,10,10,Hawthorn,100.600300150075,22,48,12
2223,255,271,1,2185,328,319,12,10,"North Melbourne",98.2905982905983,22,46,11
2187,261,253,0,2095,321,307,15,11,"St Kilda",95.7933241883859,22,44,11
2025,219,247,1,1819,301,262,7,14,Geelong,89.8271604938272,22,30,7
2078,266,226,0,1846,302,270,14,15,Richmond,88.8354186717998,22,28,7
2344,250,219,0,1899,349,280,11,17,Melbourne,81.0153583617747,22,20,5
2674,310,230,0,1784,394,259,3,18,Carlton,66.7165295437547,22,16,4
2693,311,244,1,2014,397,295,18,18,"Western Bulldogs",74.7864834756777,22,14,3
