against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
671,95,106,1,778,96,112,2,1,"Brisbane Lions",115.946348733234,8,26,1,6
712,94,103,0,895,103,132,17,2,"West Coast",125.702247191011,8,24,2,6
634,94,92,0,746,90,109,14,2,Richmond,117.665615141956,8,24,3,6
646,88,93,0,741,93,108,13,3,"Port Adelaide",114.705882352941,8,20,4,5
697,85,76,0,778,102,117,16,3,Sydney,111.621233859397,8,20,5,5
783,93,108,0,870,115,127,6,3,Fremantle,111.111111111111,8,20,6,5
706,82,107,0,833,104,121,1,4,Adelaide,117.988668555241,8,16,7,4
743,107,95,0,791,106,116,5,4,Essendon,106.460296096904,8,16,8,4
805,91,89,0,785,119,116,4,4,Collingwood,97.5155279503106,8,16,9,4
821,95,96,0,738,121,107,15,4,"St Kilda",89.8903775883069,8,16,10,4
855,105,98,1,770,125,112,12,4,"North Melbourne",90.0584795321637,8,14,11,3
829,85,79,0,745,124,111,11,5,Melbourne,89.8673100120627,8,12,12,3
861,111,103,0,745,125,107,3,5,Carlton,86.527293844367,8,12,13,3
792,78,71,0,683,119,102,10,5,Hawthorn,86.2373737373737,8,12,14,3
926,104,100,0,760,137,110,18,7,"Western Bulldogs",82.07343412527,8,4,15,1
820,94,85,0,643,121,93,7,7,Geelong,78.4146341463415,8,4,16,1
