against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1661,197,323,0,2477,244,359,7,4,Geelong,149.127031908489,25,72,21
1666,226,284,0,2084,240,300,11,8,Melbourne,125.090036014406,24,64,16
1912,256,289,0,2305,276,336,16,7,Sydney,120.554393305439,25,64,18
1995,237,266,0,2084,293,303,4,8,Collingwood,104.461152882206,25,64,17
1625,227,245,1,1871,233,271,6,7,Fremantle,115.138461538462,24,62,16
2102,260,258,0,2394,307,356,2,8,"Brisbane Lions",113.891531874405,25,60,17
1886,266,265,1,2269,270,334,14,9,Richmond,120.307529162248,23,54,13
1714,226,249,0,1857,248,268,3,10,Carlton,108.343057176196,22,48,12
1885,229,263,0,2033,276,295,18,11,"Western Bulldogs",107.851458885942,23,48,12
1715,233,221,0,1703,247,247,15,11,"St Kilda",99.3002915451895,22,44,11
1638,240,240,0,1806,233,261,13,12,"Port Adelaide",110.25641025641,22,40,10
1820,254,245,0,1871,261,271,8,12,"Gold Coast",102.802197802198,22,40,10
1991,245,215,0,1787,291,262,10,14,Hawthorn,89.7538925163235,22,32,8
1986,228,227,0,1721,293,249,1,14,Adelaide,86.6565961732125,22,32,8
2087,245,243,0,1737,307,249,5,15,Essendon,83.2295160517489,22,28,7
1927,247,209,0,1631,280,237,9,16,"Greater Western Sydney",84.6393357550597,22,24,6
2389,259,157,0,1429,355,212,17,20,"West Coast",59.8158225198828,22,8,2
2397,303,179,0,1337,349,193,12,20,"North Melbourne",55.7780559032123,22,8,2
