against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1560,186,298,0,2224,229,321,7,4,Geelong,142.564102564103,23,72,19
1685,233,274,0,2158,242,314,16,6,Sydney,128.071216617211,23,64,17
1574,218,271,0,2005,226,289,11,7,Melbourne,127.382465057179,23,64,16
1841,221,243,0,1911,270,278,4,7,Collingwood,103.802281368821,23,64,16
1546,214,240,1,1812,222,262,6,6,Fremantle,117.205692108668,23,62,16
1903,235,243,0,2253,278,335,2,7,"Brisbane Lions",118.392012611666,23,60,16
1886,266,265,1,2269,270,334,14,9,Richmond,120.307529162248,23,54,13
1714,226,249,0,1857,248,268,3,10,Carlton,108.343057176196,22,48,12
1885,229,263,0,2033,276,295,18,11,"Western Bulldogs",107.851458885942,23,48,12
1715,233,221,0,1703,247,247,15,11,"St Kilda",99.3002915451895,22,44,11
1638,240,240,0,1806,233,261,13,12,"Port Adelaide",110.25641025641,22,40,10
1820,254,245,0,1871,261,271,8,12,"Gold Coast",102.802197802198,22,40,10
1991,245,215,0,1787,291,262,10,14,Hawthorn,89.7538925163235,22,32,8
1986,228,227,0,1721,293,249,1,14,Adelaide,86.6565961732125,22,32,8
2087,245,243,0,1737,307,249,5,15,Essendon,83.2295160517489,22,28,7
1927,247,209,0,1631,280,237,9,16,"Greater Western Sydney",84.6393357550597,22,24,6
2389,259,157,0,1429,355,212,17,20,"West Coast",59.8158225198828,22,8,2
2397,303,179,0,1337,349,193,12,20,"North Melbourne",55.7780559032123,22,8,2
