against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
353,53,74,0,542,50,78,11,0,Melbourne,153.541076487252,6,24,1,6
369,51,70,0,532,53,77,6,1,Fremantle,144.173441734417,6,20,2,5
443,65,57,0,633,63,96,2,1,"Brisbane Lions",142.889390519187,6,20,3,5
441,63,55,0,595,63,90,16,1,Sydney,134.920634920635,6,20,4,5
435,57,69,0,573,63,84,15,1,"St Kilda",131.724137931034,6,20,5,5
493,43,90,0,600,75,85,7,2,Geelong,121.703853955375,6,16,6,4
519,69,63,0,495,75,72,3,2,Carlton,95.3757225433526,6,16,7,4
514,52,59,0,551,77,82,4,3,Collingwood,107.198443579767,6,12,8,3
519,69,54,0,504,75,75,10,3,Hawthorn,97.1098265895954,6,12,9,3
522,72,61,0,499,75,73,1,3,Adelaide,95.5938697318008,6,12,10,3
492,54,74,0,494,73,70,18,4,"Western Bulldogs",100.406504065041,6,8,11,2
529,91,54,0,504,73,75,14,4,Richmond,95.2741020793951,6,8,12,2
526,58,64,0,466,78,67,8,4,"Gold Coast",88.5931558935361,6,8,13,2
491,53,71,0,461,73,65,13,5,"Port Adelaide",93.8900203665988,6,4,14,1
563,65,67,0,415,83,58,9,5,"Greater Western Sydney",73.7122557726465,6,4,15,1
633,63,65,0,461,95,66,5,5,Essendon,72.827804107425,6,4,16,1
595,73,40,0,364,87,54,17,5,"West Coast",61.1764705882353,6,4,17,1
639,81,45,0,387,93,57,12,5,"North Melbourne",60.5633802816901,6,4,18,1
