against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
512,74,75,0,693,73,103,7,0,Geelong,135.3515625,7,28,1,7
493,79,86,0,728,69,107,16,1,Sydney,147.667342799189,7,24,2,6
551,77,79,0,751,79,112,9,1,"Greater Western Sydney",136.297640653358,7,24,3,6
464,80,75,0,585,64,85,11,2,Melbourne,126.077586206897,7,20,4,5
558,72,95,0,671,81,96,13,2,"Port Adelaide",120.250896057348,7,20,5,5
626,62,90,0,702,94,102,3,2,Carlton,112.140575079872,7,20,6,5
619,91,70,1,580,88,85,5,2,Essendon,93.6995153473344,7,18,7,4
495,75,73,0,553,70,80,6,3,Fremantle,111.717171717172,7,16,8,4
587,47,77,0,593,90,86,8,3,"Gold Coast",101.022146507666,7,16,9,4
620,68,85,1,607,92,87,4,3,Collingwood,97.9032258064516,7,14,10,3
556,70,68,0,638,81,95,18,4,"Western Bulldogs",114.748201438849,7,12,11,3
560,98,73,0,541,77,78,1,5,Adelaide,96.6071428571429,7,8,12,2
549,63,85,0,517,81,72,2,5,"Brisbane Lions",94.1712204007286,7,8,13,2
572,80,73,0,511,82,73,15,5,"St Kilda",89.3356643356643,7,8,14,2
688,88,72,0,510,100,73,17,5,"West Coast",74.1279069767442,7,8,15,2
645,87,73,0,487,93,69,14,6,Richmond,75.5038759689922,7,4,16,1
678,60,72,0,474,103,67,10,6,Hawthorn,69.9115044247788,7,4,17,1
862,100,50,0,494,127,74,12,7,"North Melbourne",57.3085846867749,7,0,18,0
