against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1131,159,177,0,1437,162,210,6,2,Fremantle,127.055702917772,17,60,1,15
1163,149,230,1,1796,169,261,17,3,"West Coast",154.428202923474,17,54,2,13
1163,173,218,0,1910,165,282,10,5,Hawthorn,164.230438521066,17,48,3,12
1261,181,195,0,1461,180,211,16,5,Sydney,115.860428231562,17,48,4,12
1341,159,191,0,1517,197,221,18,6,"Western Bulldogs",113.124533929903,17,44,5,11
1255,193,205,0,1411,177,201,14,6,Richmond,112.430278884462,17,44,6,11
1475,197,189,0,1581,213,232,12,7,"North Melbourne",107.186440677966,17,40,7,10
1362,186,165,0,1395,196,205,7,7,Geelong,102.422907488987,16,36,8,9
1478,176,191,0,1511,217,220,1,7,Adelaide,102.232746955345,16,36,9,9
1432,196,212,0,1436,206,204,9,8,"Greater Western Sydney",100.279329608939,17,36,10,9
1378,190,195,0,1533,198,223,4,9,Collingwood,111.248185776488,17,32,11,8
1466,170,159,0,1509,216,225,13,9,"Port Adelaide",102.933151432469,17,32,12,8
1589,191,188,0,1388,233,200,15,11,"St Kilda",87.3505349276274,17,24,13,6
1501,193,176,0,1214,218,173,11,11,Melbourne,80.8794137241839,17,24,14,6
1607,209,173,0,1223,233,175,5,12,Essendon,76.1045426260112,17,20,15,5
1818,204,166,0,1186,269,170,3,14,Carlton,65.2365236523652,17,12,16,3
1692,222,172,1,1252,245,180,8,14,"Gold Coast",73.9952718676123,17,10,17,2
1738,208,154,0,1090,255,156,2,15,"Brisbane Lions",62.7157652474108,17,8,18,2
