against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
1442,200,214,0,1804,207,265,6,4,Fremantle,125.104022191401,21,68,1,17
1542,192,273,1,2205,225,322,17,5,"West Coast",142.996108949416,21,62,2,15
1492,214,251,0,2339,213,348,10,6,Hawthorn,156.769436997319,21,60,3,15
1514,230,241,0,1879,214,273,16,6,Sydney,124.108322324967,21,60,4,15
1501,241,238,0,1822,210,264,14,7,Richmond,121.385742838108,21,56,5,14
1695,201,233,0,1979,249,291,18,7,"Western Bulldogs",116.755162241888,21,56,6,14
1702,208,245,0,2027,249,297,1,7,Adelaide,119.09518213866,20,52,7,13
1829,245,237,0,1995,264,293,12,8,"North Melbourne",109.075997813013,21,52,8,13
1821,213,212,0,1880,268,278,13,10,"Port Adelaide",103.239978034047,21,44,9,11
1788,246,253,0,1795,257,257,9,10,"Greater Western Sydney",100.391498881432,21,44,10,11
1753,223,204,1,1734,255,255,7,9,Geelong,98.9161437535653,20,42,11,10
1761,225,242,0,1880,256,273,4,11,Collingwood,106.757524134015,21,40,12,10
2037,231,243,1,1665,301,237,15,14,"St Kilda",81.7378497790869,21,26,13,6
1967,227,210,0,1470,290,210,11,15,Melbourne,74.7330960854093,21,24,14,6
2042,254,213,0,1485,298,212,5,16,Essendon,72.7228207639569,21,20,15,5
2113,271,213,1,1569,307,226,8,16,"Gold Coast",74.2546142924752,21,18,16,4
2241,249,203,0,1469,332,211,3,17,Carlton,65.5510932619366,21,16,17,4
2184,252,197,0,1427,322,205,2,18,"Brisbane Lions",65.3388278388278,21,12,18,3
