against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1788,240,329,0,2447,258,353,3,2,Carlton,136.856823266219,23,80,21
2012,266,349,0,2713,291,394,7,6,Geelong,134.840954274354,23,64,17
2057,263,308,1,2180,299,312,14,7,Richmond,105.979581915411,23,62,15
1986,252,312,2,2538,289,371,5,6,Essendon,127.794561933535,23,60,15
1766,266,262,0,2134,250,312,17,9,"West Coast",120.83805209513,23,56,14
2097,273,289,0,2425,304,356,12,8,"North Melbourne",115.641392465427,23,56,15
2209,301,266,1,1952,318,281,18,11,"Western Bulldogs",88.3657763693979,23,46,11
2297,293,285,0,2181,334,316,2,13,"Brisbane Lions",94.9499346974314,23,40,10
1925,257,234,0,1938,278,284,11,13,Melbourne,100.675324675325,22,36,9
2111,311,267,2,2043,300,296,4,12,Collingwood,96.7787778304121,22,36,8
2184,276,261,0,1749,318,248,1,13,Adelaide,80.0824175824176,22,36,9
2299,295,256,0,2314,334,343,16,14,Sydney,100.652457590257,22,32,8
2209,265,275,0,2051,324,296,6,14,Fremantle,92.8474422815754,22,32,8
2258,248,260,0,1814,335,259,15,14,"St Kilda",80.3365810451727,22,32,8
1975,277,249,0,1857,283,268,10,15,Hawthorn,94.0253164556962,22,28,7
2780,350,231,0,1617,405,231,19,20,Fitzroy,58.1654676258993,22,8,2
