against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
995,137,203,0,1469,143,211,18,3,"Western Bulldogs",147.638190954774,15,48,1,12
991,127,181,0,1273,144,182,11,3,Melbourne,128.456104944501,15,48,2,12
1037,149,173,0,1397,148,204,2,4,"Brisbane Lions",134.715525554484,15,44,3,11
1043,161,145,0,1297,147,192,13,4,"Port Adelaide",124.352828379674,15,44,4,11
1046,164,157,0,1291,147,189,7,4,Geelong,123.422562141491,15,44,5,11
1145,173,159,0,1311,162,192,16,6,Sydney,114.497816593886,15,36,6,9
1302,174,137,0,1241,188,184,17,7,"West Coast",95.3149001536098,15,32,7,8
1250,176,152,1,1214,179,177,9,7,"Greater Western Sydney",97.12,15,30,8,7
1212,168,157,0,1219,174,177,14,8,Richmond,100.577557755776,15,28,9,7
1241,155,190,0,1144,181,159,6,8,Fremantle,92.1837228041902,15,28,10,7
1255,169,162,0,1050,181,148,15,8,"St Kilda",83.6653386454183,15,28,11,7
1342,160,155,0,1325,197,195,5,9,Essendon,98.7332339791356,15,24,12,6
1338,168,171,0,1245,195,179,3,9,Carlton,93.0493273542601,15,24,13,6
1170,168,160,0,1030,167,145,8,10,"Gold Coast",88.034188034188,15,20,14,5
1388,170,167,0,1169,203,167,1,10,Adelaide,84.2219020172911,15,20,15,5
1173,141,150,0,1050,172,150,4,11,Collingwood,89.5140664961637,15,16,16,4
1345,157,137,0,1085,198,158,10,11,Hawthorn,80.6691449814126,15,16,17,4
1506,186,147,1,969,220,137,12,12,"North Melbourne",64.3426294820717,15,10,18,2
