against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
870,108,154,0,1150,127,166,11,2,Melbourne,132.183908045977,13,44,1,11
790,106,159,0,1185,114,171,18,2,"Western Bulldogs",150,12,40,2,10
817,127,130,0,1060,115,155,7,3,Geelong,129.742962056304,12,36,3,9
883,121,134,0,1124,127,165,2,4,"Brisbane Lions",127.293318233296,12,32,4,8
888,132,118,0,1048,126,155,13,4,"Port Adelaide",118.018018018018,12,32,5,8
1038,156,138,0,1122,147,164,16,5,Sydney,108.092485549133,13,32,6,8
1086,144,122,0,1172,157,175,17,5,"West Coast",107.918968692449,13,32,7,8
1073,143,140,0,1130,155,165,14,6,Richmond,105.312208760485,13,28,8,7
1082,140,167,0,989,157,137,6,7,Fremantle,91.4048059149723,13,24,9,6
1039,139,130,1,976,150,141,9,6,"Greater Western Sydney",93.9364773820982,12,22,10,5
1103,125,129,0,1125,163,166,5,7,Essendon,101.994560290118,12,20,11,5
1194,150,143,0,1037,174,149,1,8,Adelaide,86.8509212730318,13,20,12,5
1172,146,144,0,918,171,129,15,8,"St Kilda",78.3276450511945,13,20,13,5
1099,133,140,0,1016,161,146,3,8,Carlton,92.4476797088262,12,16,14,4
950,134,127,0,859,136,122,8,8,"Gold Coast",90.4210526315789,12,16,15,4
1012,124,130,0,910,148,130,4,9,Collingwood,89.9209486166008,13,16,16,4
1100,134,101,0,869,161,128,10,9,Hawthorn,79,12,12,17,3
1267,151,107,1,773,186,111,12,10,"North Melbourne",61.0102604577743,12,6,18,1
