against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
762,96,108,0,1062,111,159,10,1,Hawthorn,139.370078740157,9,32,1,8
828,102,111,0,1011,121,150,7,1,Geelong,122.101449275362,9,32,2,8
704,104,128,0,1004,100,146,5,2,Essendon,142.613636363636,9,28,3,7
665,89,106,1,838,96,122,6,2,Fremantle,126.015037593985,9,26,4,6
727,91,92,1,902,106,135,16,2,Sydney,124.071526822558,9,26,5,6
804,90,131,0,989,119,143,17,4,"West Coast",123.009950248756,9,20,6,5
767,101,117,0,927,111,135,1,4,Adelaide,120.860495436767,9,20,7,5
803,125,130,0,904,113,129,3,4,Carlton,112.577833125778,9,20,8,5
818,98,120,0,888,120,128,13,4,"Port Adelaide",108.557457212714,9,20,9,5
812,104,112,0,868,118,126,14,4,Richmond,106.896551724138,9,20,10,5
907,103,117,0,831,134,119,4,4,Collingwood,91.6207276736494,9,20,11,5
825,105,120,0,822,120,117,8,5,"Gold Coast",99.6363636363636,9,16,12,4
902,116,112,0,964,131,142,12,6,"North Melbourne",106.873614190687,9,12,13,3
941,119,120,0,732,137,102,2,6,"Brisbane Lions",77.7895855472901,9,12,14,3
832,112,107,0,755,120,108,15,7,"St Kilda",90.7451923076923,9,8,15,2
969,123,80,0,722,141,107,18,7,"Western Bulldogs",74.5098039215686,9,8,16,2
1190,146,73,0,637,174,94,11,8,Melbourne,53.5294117647059,9,4,17,1
1274,140,80,0,674,189,99,9,9,"Greater Western Sydney",52.9042386185243,9,0,18,0
