against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1910,242,294,0,2628,278,389,10,3,Hawthorn,137.591623036649,23,76,20
1943,227,327,0,2577,286,375,7,5,Geelong,132.629953679876,24,72,19
1590,234,238,1,2122,226,314,6,5,Fremantle,133.459119496855,23,66,17
1861,271,269,1,2381,265,352,16,7,Sydney,127.941966684578,24,62,16
1870,250,300,0,2250,270,325,14,8,Richmond,120.320855614973,23,60,15
1955,239,297,0,2211,286,319,4,9,Collingwood,113.09462915601,23,56,14
2000,266,273,0,2145,289,312,5,8,Essendon,107.25,22,56,14
2161,259,286,0,2218,317,322,13,11,"Port Adelaide",102.637667746414,24,48,13
2174,314,323,0,2303,310,330,3,12,Carlton,105.933762649494,24,44,12
1930,256,255,0,2307,279,342,12,12,"North Melbourne",119.533678756477,22,40,10
1909,235,282,0,2064,279,297,1,12,Adelaide,108.119434258774,22,40,10
2144,290,266,0,1922,309,276,2,12,"Brisbane Lions",89.6455223880597,22,40,10
2139,237,268,0,2038,317,295,17,13,"West Coast",95.2781673679289,22,36,9
2091,285,262,0,1918,301,276,8,14,"Gold Coast",91.7264466762315,22,32,8
2262,276,228,0,1926,331,283,18,14,"Western Bulldogs",85.1458885941645,22,32,8
2120,272,245,0,1751,308,251,15,17,"St Kilda",82.5943396226415,22,20,5
2691,333,201,0,1455,393,209,11,20,Melbourne,54.0691192865106,22,8,2
2990,326,198,0,1524,444,221,9,21,"Greater Western Sydney",50.9698996655518,22,4,1
