against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,rank,wins
687,87,112,0,898,100,131,18,1,"Western Bulldogs",130.713245997089,8,28,1,7
717,99,91,0,907,103,136,16,2,Sydney,126.49930264993,8,24,2,6
657,99,91,0,703,93,102,11,2,Melbourne,107.001522070015,8,24,3,6
783,99,92,0,776,114,114,15,2,"St Kilda",99.1060025542784,8,24,4,6
827,95,99,0,819,122,120,12,3,"North Melbourne",99.0326481257557,8,20,5,5
703,85,106,0,694,103,98,14,3,Richmond,98.7197724039829,8,20,6,5
663,81,106,0,730,97,104,13,4,"Port Adelaide",110.105580693816,8,16,7,4
791,113,95,0,791,113,116,4,4,Collingwood,100,8,16,8,4
727,97,92,0,632,105,90,7,4,Geelong,86.9325997248968,8,16,9,4
632,86,107,0,701,91,99,1,5,Adelaide,110.917721518987,8,12,10,3
714,90,103,0,763,104,110,17,5,"West Coast",106.862745098039,8,12,11,3
748,130,93,0,777,103,114,5,5,Essendon,103.877005347594,8,12,12,3
756,96,78,0,600,110,87,6,5,Fremantle,79.3650793650794,8,12,13,3
833,89,89,0,761,124,112,10,6,Hawthorn,91.3565426170468,8,8,14,2
831,105,108,0,714,121,101,2,6,"Brisbane Lions",85.9205776173285,8,8,15,2
815,101,90,0,618,119,88,3,7,Carlton,75.8282208588957,8,4,16,1
