against,behinds_against,behinds_for,draws,for,goals_against,goals_for,id,losses,name,percentage,played,pts,wins
1652,242,318,0,2160,235,307,17,6,"West Coast",130.750605326877,23,64,17
1897,289,299,0,2447,268,358,3,8,Carlton,128.993147074328,23,60,15
1939,289,325,0,2497,275,362,12,9,"North Melbourne",128.777720474471,23,52,14
2205,309,313,0,2509,316,366,7,9,Geelong,113.786848072562,23,52,14
2011,247,317,0,2207,294,315,18,10,"Western Bulldogs",109.746394828444,23,52,13
2119,289,287,0,2279,305,332,10,10,Hawthorn,107.550731477112,23,52,13
1975,265,267,0,2313,285,341,11,10,Melbourne,117.113924050633,23,48,13
2101,295,297,0,2097,301,300,4,11,Collingwood,99.8096144693003,23,48,12
2167,259,299,0,2033,318,289,14,10,Richmond,93.8163359483156,22,48,12
2119,271,245,0,2075,308,305,5,11,Essendon,97.9235488437942,22,44,11
2159,251,274,1,1876,318,267,1,12,Adelaide,86.8920796665123,22,38,9
2195,299,254,0,1940,316,281,2,13,"Brisbane Lions",88.3826879271071,22,36,9
2415,303,213,1,1809,352,266,15,14,"St Kilda",74.9068322981366,22,30,7
2456,302,244,0,1726,359,247,19,17,Fitzroy,70.2768729641694,22,20,5
2545,301,259,0,1987,374,288,16,18,Sydney,78.0746561886051,22,16,4
